ModelID,Topology,RSS,AICc,# Estimated Parameters,AICc Rank,RSS Rank
0,Null,1.04477,-135.66067130786237,23,4,15
1,AktActivateSmad2,0.5221439999999999,-140.09174276234546,24,2,4
2,AktInhibitSmad2,0.993931,-129.79215274891374,24,7,13
3,ErkActivateSmad2,0.513688,-140.35298011668135,24,1,3
4,ErkInhibitSmad2,0.910298,-131.19848505798893,24,6,10
5,AktActivateSmad2_AktInhibitSmad2,1.0155299999999998,-124.11484925664558,25,14,14
6,AktActivateSmad2_ErkActivateSmad2,0.318752,-142.65489008414661,25,0,0
7,AktActivateSmad2_ErkInhibitSmad2,0.434295,-137.7059195924256,25,3,2
8,AktInhibitSmad2_ErkActivateSmad2,0.770638,-128.53000412834285,25,8,9
9,AktInhibitSmad2_ErkInhibitSmad2,0.966619,-124.90463336761736,25,11,12
10,ErkActivateSmad2_ErkInhibitSmad2,0.912406,-125.82814295632284,25,10,11
11,AktActivateSmad2_AktInhibitSmad2_ErkActivateSmad2,0.76258,-124.33454891974087,26,12,7
12,AktActivateSmad2_AktInhibitSmad2_ErkInhibitSmad2,0.684605,-126.06039518224513,26,9,6
13,AktActivateSmad2_ErkActivateSmad2_ErkInhibitSmad2,0.427245,-133.6041457490811,26,5,1
14,AktInhibitSmad2_ErkActivateSmad2_ErkInhibitSmad2,0.769476,-124.19051143657475,26,13,8
15,AktActivateSmad2_AktInhibitSmad2_ErkActivateSmad2_ErkInhibitSmad2,0.682042,-122.48404418715094,27,15,5
