,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,,,127,127,16129
1,RafPhosByTGFbR,0.176875,-118.60662392447162,16,96,1536
2,PI3KPhosByTGFbR,0.296738,-112.3977480101263,61,113,6893
3,RafPhosByPI3K,0.10944,-124.36742569875076,10,70,700
4,PI3KDephosByErk,4.06991,-80.97542916320127,126,126,15876
5,MekPhosByPI3K,0.038751,-136.8260644022258,4,9,36
6,PI3KPhosByMek,0.529291,-105.45348264368485,100,125,12500
7,MekDephosByAkt,0.370402,-109.73687631733587,78,121,9438
8,RafPhosByTGFbR_PI3KPhosByTGFbR,0.241474,-108.5850871774313,87,104,9048
9,RafPhosByTGFbR_RafPhosByPI3K,0.0773076,-122.25272163151445,13,49,637
10,RafPhosByTGFbR_PI3KDephosByErk,0.245111,-108.40569482951173,88,110,9680
11,RafPhosByTGFbR_MekPhosByPI3K,0.0783115,-122.09789530087288,14,57,798
12,RafPhosByTGFbR_PI3KPhosByMek,0.171203,-112.7120290165042,59,93,5487
13,RafPhosByTGFbR_MekDephosByAkt,0.174413,-112.48911625975272,60,95,5700
14,PI3KPhosByTGFbR_RafPhosByPI3K,0.0749317,-122.62730447599728,11,23,253
15,PI3KPhosByTGFbR_PI3KDephosByErk,0.297283,-106.0900142946779,96,115,11040
16,PI3KPhosByTGFbR_MekPhosByPI3K,0.0752286,-122.57985112590654,12,34,408
17,PI3KPhosByTGFbR_PI3KPhosByMek,0.367501,-103.54551638267586,109,119,12971
18,PI3KPhosByTGFbR_MekDephosByAkt,0.296742,-106.11187196664427,95,114,10830
19,RafPhosByPI3K_PI3KDephosByErk,0.109452,-118.0803956956951,19,71,1349
20,RafPhosByPI3K_MekPhosByPI3K,0.109043,-118.12532126133779,17,67,1139
21,RafPhosByPI3K_PI3KPhosByMek,0.119182,-117.05840802132121,36,83,2988
22,RafPhosByPI3K_MekDephosByAkt,0.109087,-118.12048011149905,18,68,1224
