<<<<<<< HEAD
,,D,T,E,EA72,EA48,EA24,EA1.25,A72,A48,A24
4E-BP1 pT3746,2,0.6799823743033865,0.7318083706851726,0.982722853874282,0.903650438236746,0.8591613219668978,1.5174437825703655,1.4225836908461116,0.7685571645881867,1.0233437016895606,0.7038076960479468
4E-BP1 pT3746,3,0.609016800500849,1.0093692105746395,1.2310332284775922,1.4423162724000855,1.1780585360842613,1.0726504353327628,1.122627868428914,0.8244039737345318,0.983888534325294,1.1789210043870124
4E-BP1 pT3746,4,0.5390731328043815,0.4945410592621809,0.6689040565907968,0.724629771349827,1.1605506499753155,1.3374395953059792,1.196807124081645,1.498203992588197,1.1524050507174726,0.7812999224030821
Akt-pT308,0,0.8731204284613294,2.0657724765694976,1.7355602874981853,,,,,,,
Akt-pT308,1,1.1648147839615346,1.138972235606878,4.6619415975692355,,,,,,,
Akt-pT308,2,1.2879274413239563,1.2558791676549903,4.254988405990489,,,,,,,
Akt-pT308,3,1.0036394231696488,1.3124670703339465,2.610221624649413,,,,,,,
Akt-pT308,4,1.0823755192291173,1.4432727375413281,3.3156779789268302,,,,,,,
ERK-pT202,0,0.38772711407423055,0.8064525893135663,0.7894837210371791,,,,,,,
ERK-pT202,1,0.26129570143909403,0.22797793702344965,0.9221394814839685,,,,,,,
ERK-pT202,2,0.45171227837786126,0.4297445874749123,0.7074451556942549,,,,,,,
ERK-pT202,3,0.26325239169675646,0.45106301901575435,1.0911194261128803,,,,,,,
ERK-pT202,4,0.3409968713969856,0.47880953320692066,0.8775469460820706,,,,,,,
PDK1-pS241,1,0.7702140830036746,0.6785813432071297,1.2553455825875268,1.6645657079459062,1.8098551975989747,0.9993866228938262,0.881581010505962,0.9668674131573245,0.6913939401759328,1.0566247720063762
PDK1-pS241,2,0.94241180888477,0.8326689200594476,0.7104594530375693,1.2380318735726115,1.2787786209058452,1.224151239983326,0.9181114386269795,0.833390551732845,1.0440918231713678,1.0525404414008208
PDK1-pS241,3,0.6151173767113579,0.7006891890809733,1.1334656556431177,1.4588647218526978,1.0753998164529899,0.9224297479842115,1.0247142276443924,1.1536908621935005,1.0376733266742342,0.5914080864017921
PDK1-pS241,4,0.5688458519923854,0.7506999799496452,1.1099722546772386,2.1767141521483673,2.4427649635975937,1.5330968641687042,1.0772495222996934,1.1498042813178537,0.7975877501102964,0.5545119010417876
PRAS40-pS183,2,0.6811981855491799,0.8621034353881406,0.9113217082666777,0.688964306800698,1.052171685746246,1.0445844151355752,1.2500332591141967,0.5974170966321067,0.9184121989241811,0.7781522931981587
PRAS40-pS183,3,1.0246175731856373,1.1567715978339403,0.8487281307032642,0.4522268970595124,0.4132007711921011,0.5963868557297403,1.055509428597696,0.9715696522968731,1.4491721192921665,1.3034833897218085
PRAS40-pS183,4,3.2012720754939554,1.890224484066928,1.7148059142896006,0.7220989101104099,0.7416670999166282,0.5053455744557375,0.7958172902900063,0.902269625222212,0.3791370577740164,0.3358509582435391
SMAD2-pS465-467,0,0.4114495877958687,0.7740358986952419,1.5922540326478396,,,,,,,
SMAD2-pS465-467,1,0.5358736413761209,0.7219663093416785,1.4954401031200308,,,,,,,
SMAD2-pS465-467,2,0.817454664079469,1.0458744236530682,1.4764411694217756,,,,,,,
SMAD2-pS465-467,3,0.5033750412364965,0.8845546327717596,1.263438258029759,,,,,,,
SMAD2-pS465-467,4,0.5670382336219888,0.856607816115437,1.4568933908048514,,,,,,,
