,ID:type,TR:TGFb,TR:mTORC1i,TR:Akti,TR:Meki,DV:4EBP1,DV:Akt,DV:Erk,DV:PDK1,DV:PRAS40,DV:S6K,DV:Smad2,DV:mTORC1,DV:TSC2,DA:ALL,DV:Mek
D,c,0,0,0,0,0.609357436,1.082375519,0.340996871,0.72414728,1.635695945,1.432412293,0.567038234,1.241092563,0.485871536,0,0.430404168
T,T,1,0,0,0,0.745239547,1.443272738,0.478809533,0.740659858,1.303033172,1.589626817,0.856607816,0.900107697,0.698815193,0,0.398336404
E,T,1,1,0,0,0.960886713,3.315677979,0.877546946,1.052310736,1.158285251,0.513020167,1.456893391,0.808682722,0.920044834,0,0.971941912
EM1.25,T,1,1,1,0,1.247339561,0.712351687,1.233765945,0.97541405,1.033786659,0.448344195,1.777155917,0.865597541,,0,1.201486573
M1.25,T,1,0,1,0,1.202091065,0.785361251,0.78683061,0.959817767,1.495757384,1.030235682,1.097779006,1.225629011,,0,1.16475459
EA1.25,T,1,1,0,1,1.075119136,1.972869654,0.084991831,1.250217086,1.066163996,0.467651887,1.128075056,,0.674645809,0,1.221205734
A1.25,T,1,0,0,1,0.92813942,0.850355123,0.063693553,0.779790595,0.893335078,1.260119632,0.572875591,,1.096219317,0,1.53580511
