ID:type,TR:TGFb,TR:mTORC1i,TR:Erki,TR:Akti,DV:4EBP1,DV:Akt,DV:Erk,DV:PDK1,DV:PRAS40,DV:S6K,DV:Smad2,DV:TSC2,DA:ALL
c,0,0,0,0,0.070455238,0.157349047,0.081911686,0.16908342,0.439481936,0.151608418,0.387937186,,0
T,1,0,0,0,0.257676743,0.364805151,0.208232862,0.068356584,0.451254738,0.124045687,0.190318408,,0
T,1,1,0,0,0.281700043,1.192599094,0.145164949,0.23664067,0.02759929,0.120015995,0.097759074,,0
T,1,1,1,0,0.156232261,0.205138627,0.086410051,0.091084575,0.057791228,0.242675631,0.064164901,,0
T,1,1,0,1,0.253597983,0.534247624,0.063560349,0.070465599,0.368671905,0.065779057,0.12385654,0.353712638,0
