,TR:TGFb,TR:mTORC1i,TR:Meki,TR:Akti,TD:4EBP1,TD:Akt,TD:Erk,TD:PDK1,TD:S6K,TD:Smad2,TD:mTORC1,DA:ALL
D,0,0,0,0,0.07045523833823121,0.1573490474084808,0.08191168649852595,0.16908341951100653,0.4394819355421846,0.15160841766507827,0.38793718610460387,0.0
T,1,0,0,0,0.2576767426750829,0.36480515113414014,0.20823286232502783,0.06835658447325112,0.45125473814533423,0.124045687332109,0.1903184083057983,0.0
E,1,1,0,0,0.2817000430570964,1.1925990939778162,0.14516494854003814,0.23664067015225768,0.027599289901247707,0.12001599522182435,0.09775907420967214,0.0
EM1.25,1,1,1,0,0.15623226057760026,0.20513862710240616,0.08641005149863538,0.09108457517627301,0.05779122759113423,0.24267563069720044,0.06416490087831318,0.0
EA1.25,1,1,0,1,,,,,,,,
