,TR:TGFb,TR:mTORC1i,TR:Meki,TR:Akti,TD:4EBP1,TD:Akt,TD:Erk,TD:PDK1,TD:PRAS40,TD:S6K,TD:Smad2,TD:TSC2,DA:ALL
D,0,0,0,0,0.32861551426639446,0.1396445107033911,0.3687154592943134,0.18251232659772904,0.12529713074918472,0.22129311985457217,0.03595840300934541,0.22966369644102513,0.0
T,1,0,0,0,0.4294142819222799,0.10670747008725275,0.5306126663779829,0.18279640090061355,0.0658501845450569,0.3304516696882195,0.05886346371761754,0.2596317721703708,0.0
E,1,1,0,0,0.30624199224132953,0.6056689409397968,0.976351095024621,0.23697613361101547,0.3389256856379425,0.22965781413939637,0.1948445847249067,0.5507303989980065,0.0
EM1.25,1,1,1,0,,,,,,,,,
EA1.25,1,1,0,1,0.253597983420821,0.5342476241418384,0.06356034912609533,0.07046559899834379,0.368671905137351,0.06577905742009126,0.12385653991720252,0.3537126381578979,0.0
