,TR:TGFb,TR:mTORC1i,TR:Meki,TR:Akti,TD:4EBP1,TD:Akt,TD:Erk,TD:PDK1,TD:S6K,TD:Smad2,TD:mTORC1,DA:ALL
D,0,0,0,0,0.6093574358695389,1.0823755192291173,0.3409968713969856,0.724147280148047,1.4324122926706373,0.5670382336219888,1.241092563066699,0.0
T,1,0,0,0,0.7452395468406646,1.4432727375413281,0.4788095332069206,0.740659858074299,1.589626817157184,0.8566078161154371,0.9001076969555983,0.0
E,1,1,0,0,0.9608867129808897,3.31567797892683,0.8775469460820705,1.0523107364863646,0.5130201667426528,1.4568933908048514,0.8086827219629255,0.0
EM1.25,1,1,1,0,1.2473395611188867,0.7123516871655031,1.233765945313204,0.9754140497692554,0.4483441954906738,1.7771559166621032,0.8655975413811237,0.0
EA1.25,1,1,0,1,,,,,,,,
