,TR:TGFb,TR:mTORC1i,TR:Meki,TR:Akti,TD:4EBP1,TD:Akt,TD:Erk,TD:PDK1,TD:PRAS40,TD:S6K,TD:Smad2,TD:TSC2,DA:ALL
D,0,0,0,0,1.0717135284036479,0.5622826521254511,1.9063602799524648,0.6473243459233206,0.9056309892566908,1.6420635440585947,0.21250314396957623,0.4858715358423997,0.0
T,1,0,0,0,1.1892727420247742,0.6090816235917217,2.454195036661581,0.6903888981487709,1.1166506718576252,1.8055218721934314,0.3529775396017668,0.6988151929737344,0.0
E,1,1,0,0,1.098197220868551,1.8516810620560407,4.573685165845657,1.1283375185760898,1.432890968571784,0.6330935758521472,1.2165102687138794,0.9200448339948007,0.0
EM1.25,1,1,1,0,,,,,,,,,
EA1.25,1,1,0,1,1.0751191364577963,1.9728696542248874,0.08499183067784627,1.2502170862444344,1.4333208211801696,0.4676518870328773,1.1280750559989583,0.6746458087343878,0.0
