time	FourE_BP1_obs	FourE_BP1pT37_46_obs	Akt_obs	AktpS473_obs	AktpT308_obs	Coomassie _obs	ERK_obs	GAPDH_obs	IRS1_obs	IRS1pS636_639_obs	PRAS40_obs	PRAS40pS183_obs	PRAS40pT246_obs	S6K_obs	S6KpT229_obs	S6KpT389_obs	TSC2_obs	TSC2pT1462_obs	Insulin_indep
21.818182	0.628672	1.013225	1.190291	0.988893	0.873361	1.0	1.158786	1.247091	2.287985	1.373383	0.980577	0.976357	1.013655	1.377081	1.303454	1.208163	1.029697	0.869831	1.0
32.727273	0.82725	1.083386	1.26542	1.030972	0.928871	1.0	1.236598	1.186551	2.729525	1.717706	0.979123	1.069721	1.047209	1.641794	1.52489	1.633542	1.133917	0.932384	1.0
43.636364	0.785589	1.060291	1.273428	1.062352	0.943923	1.0	1.280797	1.223014	2.132593	1.79651	0.981268	1.024499	1.046211	1.583788	1.614652	1.741705	1.114373	0.919767	1.0
54.545455	0.743928	1.037195	1.281436	1.093731	0.958975	1.0	1.324995	1.259477	1.535661	1.875315	0.983412	0.979277	1.045214	1.525783	1.704414	1.849868	1.09483	0.90715	1.0
65.454545	0.701385	1.007754	1.289341	1.090294	0.949303	1.0	1.33597	1.28694	1.358792	1.870664	0.982645	0.961963	1.039114	1.50108	1.749921	1.934695	1.079395	0.911734	1.0
76.363636	0.65796	0.971968	1.297143	1.052041	0.914906	1.0	1.313722	1.305404	1.601987	1.782559	0.978967	0.972558	1.027913	1.509681	1.751171	1.996184	1.06807	0.93352	1.0
87.272727	0.614534	0.936181	1.304945	1.013787	0.88051	1.0	1.291474	1.323867	1.845182	1.694454	0.975289	0.983153	1.016711	1.518281	1.752422	2.057674	1.056744	0.955306	1.0
98.181818	0.564502	0.890038	1.264978	0.958453	0.855284	1.0	1.239285	1.315464	1.580347	1.684275	0.946044	0.957028	0.976088	1.434262	1.761612	2.034008	1.055909	0.919684	1.0
109.090909	0.512267	0.840442	1.209088	0.897426	0.833116	1.0	1.177116	1.298105	1.146169	1.700071	0.908278	0.918664	0.925657	1.319369	1.773449	1.981956	1.058571	0.864926	1.0
120.0	0.460031	0.790847	1.153199	0.836399	0.810947	1.0	1.114947	1.280746	0.71199	1.715866	0.870511	0.8803	0.875227	1.204477	1.785286	1.929904	1.061232	0.810168	1.0

0.0	0.433443	0.551438	1.2224	0.263088	0.508631	1.0	1.338194	1.650671	1.337032	0.774612	0.89541	0.506755	0.405519	0.964886	0.646892	0.380477	1.137587	0.711978	1.0
10.909091	0.54333	0.703429	1.219173	0.813237	0.772243	1.0	1.330677	1.331028	1.500128	1.016625	0.956777	0.784842	0.838131	1.082321	0.887877	0.811458	1.092463	1.040378	1.0
21.818182	0.647779	0.800082	1.280058	1.028182	0.826076	1.0	1.303152	1.236298	1.521088	1.080057	0.970005	0.932626	1.039305	1.175552	1.179995	1.224023	1.09411	1.133053	1.0
32.727273	0.715128	0.842591	1.346322	1.045625	0.783598	1.0	1.276079	1.266098	1.489089	1.043714	0.964521	0.976639	1.082189	1.249223	1.451976	1.568032	1.110999	1.097143	1.0
43.636364	0.680967	0.822277	1.313314	1.073932	0.829781	1.0	1.28638	1.264641	1.554058	1.029497	0.989545	0.943879	1.066789	1.30778	1.571501	1.73952	1.089426	1.099789	1.0
54.545455	0.646806	0.801963	1.280306	1.102239	0.875965	1.0	1.296681	1.263183	1.619026	1.01528	1.014569	0.911118	1.05139	1.366337	1.691025	1.911007	1.067854	1.102434	1.0
65.454545	0.612924	0.782162	1.269922	1.099123	0.878699	1.0	1.285607	1.259801	1.662648	1.108821	1.015831	0.891182	1.042549	1.37022	1.780594	1.971671	1.0445	1.086423	1.0
76.363636	0.579322	0.762874	1.282162	1.064584	0.837986	1.0	1.253158	1.254492	1.684921	1.31012	0.993329	0.884069	1.040267	1.319429	1.840207	1.92151	1.019363	1.051754	1.0
87.272727	0.545719	0.743585	1.294401	1.030045	0.797272	1.0	1.220709	1.249184	1.707194	1.51142	0.970827	0.876956	1.037985	1.268638	1.899819	1.871349	0.994227	1.017085	1.0
98.181818	0.546456	0.729934	1.320352	1.059531	0.823021	1.0	1.246173	1.244656	1.628354	1.541362	0.985977	0.928253	1.042272	1.264093	1.996599	1.934845	1.000284	1.030916	1.0
109.090909	0.55864	0.718162	1.350873	1.110358	0.870923	1.0	1.290941	1.240388	1.51581	1.514185	1.013678	0.999021	1.048749	1.274963	2.105768	2.036227	1.016738	1.060913	1.0
120.0	0.570823	0.70639	1.381394	1.161185	0.918826	1.0	1.335709	1.23612	1.403266	1.487009	1.041379	1.069788	1.055225	1.285833	2.214937	2.137609	1.033193	1.090909	1.0
