ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,0.201323,-199.6634234495715,0,183,0
1,MekPhosByAkt,0.16666199999999998,-181.4975650608341,5,98,490
2,PI3KPhosByTGFbR,0.169125,-181.27751090390092,10,138,1380
3,ErkPhosByAkt,0.257758,-174.95676479762383,20,209,4180
4,PI3KDephosByErk,0.167321,-181.43837035434555,9,128,1152
5,MekPhosByPI3K,0.166663,-181.49747505858403,6,101,606
6,PI3KPhosByMek,0.0936384,-190.14547386484043,2,65,130
7,MekDephosByAkt,0.166664,-181.497385056874,8,109,872
8,RafDephosByAkt,0.166663,-181.49747505858403,7,100,700
9,MekPhosByAkt_PI3KPhosByTGFbR,0.459002,-152.3012636910223,132,242,31944
10,MekPhosByAkt_ErkPhosByAkt,0.256133,-161.0516295889663,63,208,13104
11,MekPhosByAkt_PI3KDephosByErk,0.203035,-164.53640653166508,52,192,9984
12,MekPhosByAkt_MekPhosByPI3K,0.166664,-167.497385056874,28,107,2996
13,MekPhosByAkt_PI3KPhosByMek,0.0906977,-176.62410222413394,15,57,855
14,MekPhosByAkt_MekDephosByAkt,0.166722,-167.49216588145106,31,121,3751
15,MekPhosByAkt_RafDephosByAkt,0.16933399999999998,-167.25898576260778,38,141,5358
16,PI3KPhosByTGFbR_ErkPhosByAkt,0.186124,-165.84088542741978,43,160,6880
17,PI3KPhosByTGFbR_PI3KDephosByErk,0.168294,-167.35139545220457,35,133,4655
18,PI3KPhosByTGFbR_MekPhosByPI3K,0.458994,-152.30152513006996,131,239,31309
19,PI3KPhosByTGFbR_PI3KPhosByMek,0.069418,-180.63488920310346,12,37,444
20,PI3KPhosByTGFbR_MekDephosByAkt,0.168047,-167.37342666853584,34,131,4454
21,PI3KPhosByTGFbR_RafDephosByAkt,0.464455,-152.12411207330948,135,246,33210
22,ErkPhosByAkt_PI3KDephosByErk,0.22027800000000006,-163.31372642627252,56,196,10976
23,ErkPhosByAkt_MekPhosByPI3K,0.16666199999999998,-167.4975650608341,27,99,2673
24,ErkPhosByAkt_PI3KPhosByMek,0.0949615,-175.93500900674513,19,70,1330
25,ErkPhosByAkt_MekDephosByAkt,0.201902,-164.62034573380916,51,186,9486
26,ErkPhosByAkt_RafDephosByAkt,0.197115,-164.98027247980954,46,173,7958
27,PI3KDephosByErk_MekPhosByPI3K,0.166678,-167.49612508963241,30,118,3540
28,PI3KDephosByErk_PI3KPhosByMek,0.303221,-158.52015351251285,75,214,16050
29,PI3KDephosByErk_MekDephosByAkt,0.166675,-167.49639507370335,29,117,3393
30,PI3KDephosByErk_RafDephosByAkt,0.16910799999999998,-167.27901874021623,37,137,5069
31,MekPhosByPI3K_PI3KPhosByMek,0.385914,-154.90286400055183,113,229,25877
32,MekPhosByPI3K_MekDephosByAkt,0.167371,-167.43388862185373,33,129,4257
33,MekPhosByPI3K_RafDephosByAkt,0.225661,-162.95157410407492,58,197,11426
34,PI3KPhosByMek_MekDephosByAkt,0.0910109,-176.5723930078119,16,58,928
35,PI3KPhosByMek_RafDephosByAkt,0.0924933,-176.33003905932634,17,61,1037
36,MekDephosByAkt_RafDephosByAkt,0.16709300000000002,-167.45882404665457,32,126,4032
37,MekPhosByAkt_PI3KPhosByTGFbR_ErkPhosByAkt,0.251207,-151.34292269454784,139,205,28495
38,MekPhosByAkt_PI3KPhosByTGFbR_PI3KDephosByErk,0.198257,-154.89361966859093,114,177,20178
39,MekPhosByAkt_PI3KPhosByTGFbR_MekPhosByPI3K,0.459002,-142.3012636910223,211,243,51273
40,MekPhosByAkt_PI3KPhosByTGFbR_PI3KPhosByMek,0.326694,-147.40172290678322,168,218,36624
41,MekPhosByAkt_PI3KPhosByTGFbR_MekDephosByAkt,0.1845,-155.9723402490565,109,157,17113
42,MekPhosByAkt_PI3KPhosByTGFbR_RafDephosByAkt,0.458975,-142.30214606607117,209,237,49533
43,MekPhosByAkt_ErkPhosByAkt_PI3KDephosByErk,0.399642,-144.37854500592,191,234,44694
44,MekPhosByAkt_ErkPhosByAkt_MekPhosByPI3K,0.166728,-157.49162607038488,90,122,10980
45,MekPhosByAkt_ErkPhosByAkt_PI3KPhosByMek,0.142394,-159.85811425238444,69,90,6210
46,MekPhosByAkt_ErkPhosByAkt_MekDephosByAkt,0.166664,-157.497385056874,83,103,8549
47,MekPhosByAkt_ErkPhosByAkt_RafDephosByAkt,0.166671,-157.49675506002387,88,116,10208
48,MekPhosByAkt_PI3KDephosByErk_MekPhosByPI3K,0.169264,-157.26518780759892,97,139,13483
49,MekPhosByAkt_PI3KDephosByErk_PI3KPhosByMek,0.513366,-140.6222465850878,223,251,55973
50,MekPhosByAkt_PI3KDephosByErk_MekDephosByAkt,0.181932,-156.18258733795352,106,156,16536
51,MekPhosByAkt_PI3KDephosByErk_RafDephosByAkt,0.166838,-157.48173297540632,91,123,11193
52,MekPhosByAkt_MekPhosByPI3K_PI3KPhosByMek,0.378067,-145.21101077241303,183,225,41175
53,MekPhosByAkt_MekPhosByPI3K_MekDephosByAkt,0.166664,-157.497385056874,84,104,8736
54,MekPhosByAkt_MekPhosByPI3K_RafDephosByAkt,0.166664,-157.497385056874,82,110,9020
55,MekPhosByAkt_PI3KPhosByMek_MekDephosByAkt,0.39349,-144.61124738265622,187,233,43571
56,MekPhosByAkt_PI3KPhosByMek_RafDephosByAkt,0.386058,-144.89726794259883,185,230,42550
57,MekPhosByAkt_MekDephosByAkt_RafDephosByAkt,0.166666,-157.49720505507398,87,113,9831
58,PI3KPhosByTGFbR_ErkPhosByAkt_PI3KDephosByErk,0.173691,-156.87791432476732,100,149,14900
59,PI3KPhosByTGFbR_ErkPhosByAkt_MekPhosByPI3K,0.25000900000000004,-151.41462844305127,138,203,28014
60,PI3KPhosByTGFbR_ErkPhosByAkt_PI3KPhosByMek,0.146833,-159.39764390289537,70,95,6650
