condition_code,Akt-pT308,SMAD2-pS465-467,ERK-pT202,S6K-pT389
D,0.3570290585416565,0.28400378261291886,0.42883995620318305,2.86704887955111
T,0.46713740308569374,0.4427950143772028,0.5688745076970397,3.141156800113523
E,1.0,1.0,1.0,1.0
A72,0.26336643944125465,1.0719187487683726,0.03683997612812013,2.50574592993229
M72,0.17330170578435322,0.44741482707969976,1.1512886440175611,2.444178214678877
EA72,0.7903800304724874,1.0660922062975349,0.05250854719097226,0.6769729675092924
EM72,0.2052664632600472,0.5852647238836916,2.1191559799744777,1.2460065986120599
