,,D,T,E,EM72,EM48,EM24,EM1.25,M72,M48,M24,M1.25
PRAS40-pS183,4,3.20127207549396,1.89022448406693,1.7148059142896,0.72209891011041,0.741667099916628,0.505345574455737,0.795817290290006,0.902269625222212,0.379137057774016,0.335850958243539,0.469908747339881
SMAD2-pS465-467,0,0.4114495877958687,0.7740358986952419,1.5922540326478396,0.8601111636942456,1.003554309945607,1.3044817130435036,1.7176936953961524,0.5626546666105743,0.7523697720463923,0.9737394427751467,1.2498368578508834
SMAD2-pS465-467,1,0.5358736413761209,0.7219663093416785,1.4954401031200308,0.8725898120478347,1.5657855422847542,1.3923402621979097,2.1347919055769715,0.582595821280666,0.5429826157605763,0.6816722808964448,0.9347818875977412
SMAD2-pS465-467,2,0.817454664079469,1.0458744236530682,1.4764411694217756,1.0128094186867806,1.2503068053200108,1.7095085115275563,1.4553368807130849,0.5142029530098421,0.5665886111406456,0.563541648423842,0.9980330012762835
SMAD2-pS465-467,3,0.5033750412364965,0.8845546327717596,1.263438258029759,0.6713831449570747,0.8685529869019898,1.3528674683116082,1.8008011849622039,0.8824307556037747,1.0483325615807007,0.6503504062593637,1.208464276516083
SMAD2-pS465-467,4,0.5670382336219888,0.856607816115437,1.4568933908048514,0.854223384846484,1.1720499111130904,1.4397994887701444,1.7771559166621032,0.6354710491262143,0.7275683901320786,0.7173259445886992,1.0977790058102477
TSC2,0,1.01195112834474,0.464146687599594,0.829183737936373,0.761729817938189,1.31865795523225,1.13891466466416,0.84115965414586,0.667239110438311,0.849058836862332,1.96099591341391,1.47418378655899
TSC2,1,0.474337888335105,0.567675563410549,0.743795246471409,0.924583833129137,1.61145745135163,1.23637914504716,1.31079143152742,1.26853463757358,1.2460158353147,1.3288196377672,0.822076206155682
TSC2,2,0.905655884010288,0.922021591612258,0.578087048831208,1.05147795422991,1.6781814403135,1.40157727634885,0.822991671377379,0.699682831429401,0.85368724859373,1.19357810913881,1.25455278077811
TSC2,3,0.519018664888265,0.863289956086416,0.761272876380248,0.186578521617218,0.778860721136159,1.16171751617605,1.36636892866349,1.04524359771381,1.43403747757488,0.957025237371102,1.8339156361118
TSC2,4,1.04467452520768,0.798518607242542,1.03811035588859,1.41292200315009,1.46316155295715,0.870862408545215,0.804226220618716,1.42627297037182,0.898778355923058,0.624003668298652,0.886927237915132
mTOR-pS2448,1,1.15839281659742,0.768928022182226,0.740476757305539,1.10761330436556,1.26418149407595,1.18542399962462,0.902725019399614,1.88057224387142,0.819124717090534,0.746441457280791,0.496405600867687
mTOR-pS2448,2,1.66371113985986,1.11839008895716,0.764889642907241,0.703378360032994,1.07394214281518,1.34541399612094,0.791506356124877,0.715778714827151,0.58448344992214,1.32551844814417,1.04267158554572
mTOR-pS2448,3,0.901173732742817,0.813004979727409,0.920681765675996,1.5278484433456,0.693259232286481,0.862423546412218,0.90256124861888,0.403105638439069,0.870040358783748,0.818519967630711,2.13780984525274
S6K-pT389,1,1.8430145983635016,1.2221752437977482,0.5433242558182146,0.82625148596731,0.8563877141953549,0.49495180169458364,0.45203424353619603,1.2799225421829648,1.333647493199722,1.2623002429065786,0.23042223322125957
S6K-pT389,2,1.6311790393431285,1.3214889474374547,0.5191713577233321,0.5157284983385836,0.48158023260136185,0.6103156682920863,0.5172065023382101,1.2775058336685496,1.343948429055058,1.368363877723248,1.0170720864365739
S6K-pT389,3,0.8230432403052812,2.225216260236349,0.4765648866864118,0.5832761444295563,0.43123197814685943,0.18090716180176708,0.3757918405976152,1.1991070555986403,1.6699045936061683,0.6926790767526558,1.8432127267779854
S6K-pT389,4,1.4324122926706373,1.589626817157184,0.5130201667426528,0.6417520429118166,0.5897333083145254,0.42872487726281233,0.4483441954906738,1.2521784771500515,1.4491668386203163,1.1077810657941607,1.030235682145273
