,,D,T,E,EM72,EM48,EM24,EM1.25,M72,M48,M24,M1.25
4E-BP1 pT3746,2,0.679982374303386,0.731808370685173,0.982722853874282,0.903650438236746,0.859161321966898,1.51744378257037,1.42258369084611,0.768557164588187,1.02334370168956,0.703807696047947,1.75637319197762
4E-BP1 pT3746,3,0.609016800500849,1.00936921057464,1.23103322847759,1.44231627240009,1.17805853608426,1.07265043533276,1.12262786842891,0.824403973734532,0.983888534325294,1.17892100438701,0.671845658515908
4E-BP1 pT3746,4,0.539073132804382,0.494541059262181,0.668904056590797,0.724629771349827,1.16055064997532,1.33743959530598,1.19680712408164,1.4982039925882,1.15240505071747,0.781299922403082,1.17805434401555
Akt-pT308,0,0.8731204284613294,2.0657724765694976,1.7355602874981853,0.6495216650155022,0.7458960791479545,0.7571358816377962,0.9466959099617593,0.5466197316435998,0.537475424576872,0.7019318148935392,0.9833665086806218
Akt-pT308,1,1.1648147839615346,1.138972235606878,4.6619415975692355,0.5928454637457727,0.8120863258133213,0.5694223138122676,0.6530717938968679,0.3494061006747139,0.2760166383317587,0.38217582491519636,0.35463662796528944
Akt-pT308,2,1.2879274413239563,1.2558791676549903,4.254988405990489,0.3999436812444505,0.38023652385145734,0.5626864739606643,0.40736568238335646,0.26727355972792927,0.27434083593491,0.5435056233712066,0.7943053340754382
Akt-pT308,3,1.0036394231696488,1.3124670703339465,2.610221624649413,0.5890265095375661,0.7283643285485102,0.6870345869232675,0.8422733624200289,0.6277351742429337,0.7369591670905894,0.7216972866638783,1.0091365319759136
Akt-pT308,4,1.0823755192291173,1.4432727375413281,3.3156779789268302,0.5578343298858229,0.6666458143403109,0.6440698140834988,0.7123516871655031,0.44775864157229417,0.45619801648353253,0.5873276374609551,0.7853612506743157
ERK-pT202,0,0.38772711407423055,0.8064525893135663,0.7894837210371791,1.7309026632998035,1.9891160041355025,1.3106501064152034,1.124418658310681,0.7593493687399642,0.6460529445102384,0.8883106080677822,0.941836898634116
ERK-pT202,1,0.26129570143909403,0.22797793702344965,0.9221394814839685,2.106736629533639,2.054046460243484,1.1802780675749813,1.2625685828289281,1.118643076136957,1.2237246750624113,1.026124335187858,0.6425591302947767
ERK-pT202,2,0.45171227837786126,0.4297445874749123,0.7074451556942549,1.5634444315938758,1.7297296866395409,1.8621279946004317,1.190861811197028,1.05096221448076,0.9772352945327244,0.9164322799733869,0.6456631987939351
ERK-pT202,3,0.26325239169675646,0.45106301901575435,1.0911194261128803,1.952634738093735,1.7880925568994546,1.3332004643309519,1.357214728916179,1.0307312522799426,0.8822330927739316,0.5014547258079579,0.9172632105471453
ERK-pT202,4,0.3409968713969856,0.47880953320692066,0.8775469460820706,1.8384296156302633,1.8902461769794954,1.4215641582303922,1.233765945313204,0.989921477909406,0.9323115017198264,0.8330804872592463,0.7868306095674933
PDK1-pS241,1,0.770214083003675,0.67858134320713,1.25534558258753,1.66456570794591,1.80985519759897,0.999386622893826,0.881581010505962,0.966867413157324,0.691393940175933,1.05662477200638,0.777476188945832
PDK1-pS241,2,0.94241180888477,0.832668920059448,0.710459453037569,1.23803187357261,1.27877862090585,1.22415123998333,0.91811143862698,0.833390551732845,1.04409182317137,1.05254044140082,1.12955864335302
PDK1-pS241,3,0.615117376711358,0.700689189080973,1.13346565564312,1.4588647218527,1.07539981645299,0.922429747984212,1.02471422764439,1.1536908621935,1.03767332667423,0.591408086401792,1.43252373210328
PDK1-pS241,4,0.568845851992385,0.750699979949645,1.10997225467724,2.17671415214837,2.44276496359759,1.5330968641687,1.07724952229969,1.14980428131785,0.797587750110296,0.554511901041788,0.499712502075916
PRAS40-pS183,2,0.68119818554918,0.862103435388141,0.911321708266678,0.688964306800698,1.05217168574625,1.04458441513558,1.2500332591142,0.597417096632107,0.918412198924181,0.778152293198159,2.53962979501109
PRAS40-pS183,3,1.02461757318564,1.15677159783394,0.848728130703264,0.452226897059512,0.413200771192101,0.59638685572974,1.0555094285977,0.971569652296873,1.44917211929217,1.30348338972181,1.47773360918109
