condition_code,Akt-pT308,SMAD2-pS465-467,ERK-pT202,S6K-pT389
D,0.05028432367281598,0.0500607714083442,0.05614726942074577,0.37670877290913574
T,0.11404388358313339,0.06466044807495502,0.09014385682270289,0.4043161473653753
E,0.0,0.0,0.0,0.0
A72,0.07935640856207561,0.08219691318265304,0.010603570485637084,0.841822919121155
M72,0.062222921453397854,0.08417743501913984,0.1272002462098674,0.047037486308816746
EA72,0.23904738999337785,0.14422228383072044,0.011273428845544336,0.04486880332457594
EM72,0.06288227142785198,0.035450695727399485,0.11166417109040219,0.1526372981955113
