ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,0.10466800000000001,-118.61670762737725,104,190,19760
1,MekPhosByAkt,0.10466800000000001,-113.90242191309154,113,196,22148
2,PI3KPhosByTGFbR,0.10223,-114.18524102401457,109,176,19184
3,ErkPhosByAkt,0.10466700000000001,-113.90253656186026,110,187,20570
4,PI3KDephosByErk,0.104702,-113.89852450655206,115,222,25530
5,MekPhosByPI3K,0.104672,-113.90196332896997,114,212,24168
6,PI3KPhosByMek,0.30541,-101.05208151095167,251,255,64005
7,MekDephosByAkt,0.10466800000000001,-113.90242191309154,111,189,20979
8,RafDephosByAkt,0.10466800000000001,-113.90242191309154,112,194,21728
9,MekPhosByAkt_PI3KPhosByTGFbR,0.10148099999999999,-110.60681741248317,129,140,18060
10,MekPhosByAkt_ErkPhosByAkt,0.11261199999999999,-109.35789709501584,146,243,35478
11,MekPhosByAkt_PI3KDephosByErk,0.104744,-110.22704514346955,141,227,32007
12,MekPhosByAkt_MekPhosByPI3K,0.10466800000000001,-110.23575524642487,133,197,26201
13,MekPhosByAkt_PI3KPhosByMek,0.0582605,-117.2661844740297,105,111,11655
14,MekPhosByAkt_MekDephosByAkt,0.10466800000000001,-110.23575524642487,134,203,27202
15,MekPhosByAkt_RafDephosByAkt,0.10466800000000001,-110.23575524642487,136,199,27064
16,PI3KPhosByTGFbR_ErkPhosByAkt,0.101474,-110.60764518218615,126,130,16380
17,PI3KPhosByTGFbR_PI3KDephosByErk,0.103052,-110.42247189614525,131,183,23973
18,PI3KPhosByTGFbR_MekPhosByPI3K,0.101476,-110.60740867073011,127,134,17018
19,PI3KPhosByTGFbR_PI3KPhosByMek,0.00975674,-138.70977653974708,22,64,1408
20,PI3KPhosByTGFbR_MekDephosByAkt,0.102189,-110.52338799997993,130,173,22490
21,PI3KPhosByTGFbR_RafDephosByAkt,0.10148099999999999,-110.60681741248317,128,138,17664
22,ErkPhosByAkt_PI3KDephosByErk,0.10469500000000001,-110.23266014364361,140,221,30940
23,ErkPhosByAkt_MekPhosByPI3K,0.10467,-110.23552595217348,139,210,29190
24,ErkPhosByAkt_PI3KPhosByMek,0.014493200000000001,-133.96112159164818,58,87,5046
25,ErkPhosByAkt_MekDephosByAkt,0.10466900000000001,-110.2356405987515,138,205,28290
26,ErkPhosByAkt_RafDephosByAkt,0.10466900000000001,-110.2356405987515,137,206,28222
27,PI3KDephosByErk_MekPhosByPI3K,0.104771,-110.22395228613911,143,231,33033
28,PI3KDephosByErk_PI3KPhosByMek,0.30025300000000005,-97.5897710475696,253,254,64262
29,PI3KDephosByErk_MekDephosByAkt,0.128099,-107.81163564892336,148,249,36852
30,PI3KDephosByErk_RafDephosByAkt,0.104751,-110.22624321502227,142,229,32518
31,MekPhosByPI3K_PI3KPhosByMek,0.07849830000000001,-113.68835285654004,117,121,14157
32,MekPhosByPI3K_MekDephosByAkt,0.104816,-110.21879929470073,144,233,33552
33,MekPhosByPI3K_RafDephosByAkt,0.10466800000000001,-110.23575524642487,135,195,26325
34,PI3KPhosByMek_MekDephosByAkt,0.019543599999999998,-130.37350207329558,82,95,7790
35,PI3KPhosByMek_RafDephosByAkt,0.0130912,-135.18199349353966,51,81,4131
36,MekDephosByAkt_RafDephosByAkt,0.10483900000000002,-110.21616639778811,145,234,33930
37,MekPhosByAkt_PI3KPhosByTGFbR_ErkPhosByAkt,0.101656,-107.65280837241485,153,153,23409
38,MekPhosByAkt_PI3KPhosByTGFbR_PI3KDephosByErk,0.10168200000000001,-107.64973959037017,154,154,23716
39,MekPhosByAkt_PI3KPhosByTGFbR_MekPhosByPI3K,0.102095,-107.60109811674168,158,163,25754
40,MekPhosByAkt_PI3KPhosByTGFbR_PI3KPhosByMek,0.00615239,-141.30985565469484,4,35,140
41,MekPhosByAkt_PI3KPhosByTGFbR_MekDephosByAkt,0.10254200000000001,-107.54867349625461,161,180,28980
42,MekPhosByAkt_PI3KPhosByTGFbR_RafDephosByAkt,0.101967,-107.61615236693476,156,159,24804
43,MekPhosByAkt_ErkPhosByAkt_PI3KDephosByErk,0.115682,-106.10180257722999,184,245,45080
44,MekPhosByAkt_ErkPhosByAkt_MekPhosByPI3K,0.114935,-106.17954213112509,183,244,44652
45,MekPhosByAkt_ErkPhosByAkt_PI3KPhosByMek,0.014324200000000002,-131.1685381698137,78,86,6708
46,MekPhosByAkt_ErkPhosByAkt_MekDephosByAkt,0.10466900000000001,-107.30230726541818,168,207,34776
47,MekPhosByAkt_ErkPhosByAkt_RafDephosByAkt,0.10466800000000001,-107.30242191309155,164,198,32472
48,MekPhosByAkt_PI3KDephosByErk_MekPhosByPI3K,0.104682,-107.30081694533182,175,220,38500
49,MekPhosByAkt_PI3KDephosByErk_PI3KPhosByMek,0.00701795,-139.7302893140568,11,45,495
50,MekPhosByAkt_PI3KDephosByErk_MekDephosByAkt,0.123953,-105.27311360728858,191,248,47368
