ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,,,106,106,11236
1,MekPhosByAkt,,,107,107,11449
2,PI3KPhosByTGFbR,,,108,108,11664
3,ErkPhosByAkt,,,109,109,11881
4,PI3KDephosByErk,,,110,110,12100
5,MekPhosByPI3K,,,111,111,12321
6,PI3KPhosByMek,,,112,112,12544
7,MekDephosByAkt,,,113,113,12769
8,RafDephosByAkt,,,114,114,12996
9,MekPhosByAkt_PI3KPhosByTGFbR,,,115,115,13225
10,MekPhosByAkt_ErkPhosByAkt,,,116,116,13456
11,MekPhosByAkt_PI3KDephosByErk,,,117,117,13689
12,MekPhosByAkt_MekPhosByPI3K,,,118,118,13924
13,MekPhosByAkt_PI3KPhosByMek,,,119,119,14161
14,MekPhosByAkt_MekDephosByAkt,,,120,120,14400
15,MekPhosByAkt_RafDephosByAkt,,,121,121,14641
16,PI3KPhosByTGFbR_ErkPhosByAkt,,,122,122,14884
17,PI3KPhosByTGFbR_PI3KDephosByErk,,,123,123,15129
18,PI3KPhosByTGFbR_MekPhosByPI3K,,,124,124,15376
19,PI3KPhosByTGFbR_PI3KPhosByMek,,,125,125,15625
20,PI3KPhosByTGFbR_MekDephosByAkt,,,126,126,15876
21,PI3KPhosByTGFbR_RafDephosByAkt,,,127,127,16129
22,ErkPhosByAkt_PI3KDephosByErk,,,128,128,16384
23,ErkPhosByAkt_MekPhosByPI3K,,,129,129,16641
24,ErkPhosByAkt_PI3KPhosByMek,,,130,130,16900
25,ErkPhosByAkt_MekDephosByAkt,,,131,131,17161
26,ErkPhosByAkt_RafDephosByAkt,,,132,132,17424
27,PI3KDephosByErk_MekPhosByPI3K,,,133,133,17689
28,PI3KDephosByErk_PI3KPhosByMek,,,134,134,17956
29,PI3KDephosByErk_MekDephosByAkt,,,135,135,18225
30,PI3KDephosByErk_RafDephosByAkt,,,136,136,18496
31,MekPhosByPI3K_PI3KPhosByMek,,,137,137,18769
32,MekPhosByPI3K_MekDephosByAkt,,,138,138,19044
33,MekPhosByPI3K_RafDephosByAkt,,,139,139,19321
34,PI3KPhosByMek_MekDephosByAkt,,,140,140,19600
35,PI3KPhosByMek_RafDephosByAkt,,,141,141,19881
36,MekDephosByAkt_RafDephosByAkt,,,142,142,20164
37,MekPhosByAkt_PI3KPhosByTGFbR_ErkPhosByAkt,,,143,143,20449
38,MekPhosByAkt_PI3KPhosByTGFbR_PI3KDephosByErk,,,144,144,20736
39,MekPhosByAkt_PI3KPhosByTGFbR_MekPhosByPI3K,,,145,145,21025
40,MekPhosByAkt_PI3KPhosByTGFbR_PI3KPhosByMek,,,146,146,21316
41,MekPhosByAkt_PI3KPhosByTGFbR_MekDephosByAkt,,,147,147,21609
