Time	pAkt	pSmad2	ppErk	pS6K	GrowthFactors_indep	TGFb_indep	Everolimus_indep	AZD_indep	MK2206_indep
0.0					1	0	0	0	0
24.0					1	0	0	0	0
48.0					1	0	0	0	0
70.25					0	0	0	0	0
70.75					0	0	0	0	1
71.25					0	1	0	0	1
72.0	7.853612507	10.97779006	7.868306096	10.30235682	0	1	0	0	1
