Time,pAkt,pSmad2,pErk,pS6K,GrowthFactors,TGFb,Everolimus,AZD,MK
0,,,,,1,0,1,0,0
24,,,,,1,0,1,0,0
48,,,,,1,0,1,0,0
70.25,,,,,0,0,1,0,0
70.75,,,,,0,0,1,0,1
71.25,,,,,0,1,1,0,1
72,7.123516872,17.77155917,12.33765945,4.483441955,0,1,1,0,1
