Time	pAkt	pSmad2	ppErk	pS6K	GrowthFactors_indep	TGFb_indep	Everolimus_indep	AZD_indep	MK2206_indep
0.0					1	0	1	0	0
24.0					1	0	1	0	0
48.0					1	0	1	0	0
70.25					0	0	1	0	0
70.75					0	0	1	0	0
71.25					0	1	1	0	0
72.0	18.51681062	12.16510269	45.73685166	6.330935759	0	1	1	0	0
