Time,pAkt,pSmad2,pErk,pS6K,GrowthFactors,TGFb,Everolimus,AZD,MK
0,,,,,1,0,1,0,0
24,,,,,1,0,1,0,0
48,,,,,1,0,1,0,1
70.25,,,,,0,0,1,0,1
70.75,,,,,0,0,1,0,1
71.25,,,,,0,1,1,0,1
72,6.440698141,14.39799489,14.21564158,4.287248773,0,1,1,0,1
