Time,pAkt,pSmad2,pErk,pS6K,GrowthFactors,TGFb,Everolimus,AZD,MK
0,,,,,1,0,1,0,0
24,,,,,1,0,1,0,0
48,,,,,1,0,1,1,0
70.25,,,,,0,0,1,1,0
70.75,,,,,0,0,1,1,0
71.25,,,,,0,1,1,1,0
72,13.50069569,14.99440943,1.190834822,4.978064846,0,1,1,1,0
