Time,pAkt,pSmad2,pErk,pS6K,GrowthFactors,TGFb,Everolimus,AZD,MK
0,,,,,1,0,1,0,0
24,,,,,1,0,1,0,1
48,,,,,1,0,1,0,1
70.25,,,,,0,0,1,0,1
70.75,,,,,0,0,1,0,1
71.25,,,,,0,1,1,0,1
72,6.666458143,11.72049911,18.90246177,5.897333083,0,1,1,0,1
