Time,pAkt,pSmad2,ppErk,pS6K,GrowthFactors_indep,TGFb_indep,Everolimus_indep,AZD_indep,MK2206_indep,ExperimentIndicator_indep
0,,,,,1,0,1,0,0,10
24,,,,,1,0,1,0,0,10
48,,,,,1,0,1,0,0,10
70.25,,,,,1,0,1,0,0,10
70.75,,,,,1,0,1,0,0,10
71.25,,,,,1,0,1,0,0,10
72,0.137231376675361,1.10193894343615,0.070125618099116,0.292558840433438,1,0,1,0,0,10
