Time,pAkt,pSmad2,pErk,pS6K,GrowthFactors,TGFb,Everolimus,AZD,MK
0,,,,,1,0,0,0,0
24,,,,,1,0,0,0,0
48,,,,,1,0,0,0,0
70.25,,,,,0,0,0,0,0
70.75,,,,,0,0,0,0,0
71.25,,,,,0,1,0,0,0
72,6.090816236,3.529775396,24.54195037,18.05521872,0,1,0,0,0
