ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
245,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt_RafDephosByAkt,0.0177446,-248.0253957,54,0,0
251,MekPhosByAkt_PI3KPhosByTGFbR_ErkPhosByAkt_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt_RafDephosByAkt,0.0240865,-231.5965593,102,1,102
254,PI3KPhosByTGFbR_ErkPhosByAkt_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt_RafDephosByAkt,0.0262872,-230.0228083,108,2,216
225,MekPhosByAkt_PI3KPhosByTGFbR_ErkPhosByAkt_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.0760072,-221.8399528,121,3,363
202,PI3KPhosByTGFbR_ErkPhosByAkt_PI3KDephosByErk_PI3KPhosByMek_RafDephosByAkt,0.101399,-231.2231485,103,4,412
144,PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.118677,-248.7909874,52,5,260
244,PI3KPhosByTGFbR_ErkPhosByAkt_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt_RafDephosByAkt,0.125918,-212.7535019,154,6,924
255,MekPhosByAkt_PI3KPhosByTGFbR_ErkPhosByAkt_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt_RafDephosByAkt,0.126484,-193.2442019,218,7,1526
208,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.130722,-226.6509739,112,8,896
204,PI3KPhosByTGFbR_ErkPhosByAkt_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.132192,-226.4496893,113,9,1017
250,MekPhosByAkt_PI3KPhosByTGFbR_ErkPhosByAkt_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt_RafDephosByAkt,0.137508,-200.2400089,198,10,1980
179,MekPhosByAkt_PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.142552,-225.0915634,115,11,1265
243,PI3KPhosByTGFbR_ErkPhosByAkt_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt_RafDephosByAkt,0.149104,-209.7112652,174,12,2088
228,MekPhosByAkt_PI3KPhosByTGFbR_ErkPhosByAkt_PI3KPhosByMek_MekDephosByAkt_RafDephosByAkt,0.149565,-209.6556986,176,13,2288
