ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,1.70428,-690.4301224273046,0,252,0
1,MekPhosByAkt,1.40113,-387.9556686716838,7,237,1659
2,PI3KPhosByTGFbR,1.1131799999999998,-392.0967175250063,3,174,522
3,ErkPhosByAkt,1.14621,-391.5703963857209,5,201,1005
4,PI3KDephosByErk,1.1222,-391.95145284410575,4,180,720
5,MekPhosByPI3K,1.24443,-390.09049495454803,6,219,1314
6,PI3KPhosByMek,1.50062,-386.72088123336044,8,243,1944
7,MekDephosByAkt,0.785331,-398.3763915345036,2,127,254
8,RafDephosByAkt,0.6772100000000001,-401.04262116075586,1,108,108
9,MekPhosByAkt_PI3KPhosByTGFbR,1.1402299999999999,-289.66455170616257,25,191,4775
10,MekPhosByAkt_ErkPhosByAkt,1.31233,-287.13421634299766,32,225,7200
11,MekPhosByAkt_PI3KDephosByErk,1.17497,-289.12432456573583,27,207,5589
12,MekPhosByAkt_MekPhosByPI3K,1.1752799999999999,-289.11957613469036,28,208,5824
13,MekPhosByAkt_PI3KPhosByMek,1.45756,-285.2449431561632,36,240,8640
14,MekPhosByAkt_MekDephosByAkt,0.677204,-299.04278063932003,12,107,1284
15,MekPhosByAkt_RafDephosByAkt,0.68825,-298.7515480714005,13,117,1521
16,PI3KPhosByTGFbR_ErkPhosByAkt,1.1132,-290.0963941300782,22,177,3894
17,PI3KPhosByTGFbR_PI3KDephosByErk,1.1044200000000002,-290.2389260569011,20,167,3340
18,PI3KPhosByTGFbR_MekPhosByPI3K,1.1402,-289.66502530105475,24,190,4560
19,PI3KPhosByTGFbR_PI3KPhosByMek,1.11316,-290.09704092574475,21,172,3612
20,PI3KPhosByTGFbR_MekDephosByAkt,0.6422,-299.99809059401196,11,91,1001
21,PI3KPhosByTGFbR_RafDephosByAkt,0.6421359999999999,-299.999884517099,10,90,900
22,ErkPhosByAkt_PI3KDephosByErk,1.35304,-286.58432121382526,33,231,7623
23,ErkPhosByAkt_MekPhosByPI3K,1.2168299999999999,-288.4942075452864,30,216,6480
24,ErkPhosByAkt_PI3KPhosByMek,1.18041,-289.04117859853613,29,209,6061
25,ErkPhosByAkt_MekDephosByAkt,1.36166,-286.47000985605223,34,234,7956
26,ErkPhosByAkt_RafDephosByAkt,0.997207,-292.0770359807731,19,161,3059
27,PI3KDephosByErk_MekPhosByPI3K,1.14246,-289.62938266194766,26,199,5174
28,PI3KDephosByErk_PI3KPhosByMek,1.13581,-289.7344626919217,23,188,4324
29,PI3KDephosByErk_MekDephosByAkt,0.6100899999999999,-300.9213698929879,9,54,486
30,PI3KDephosByErk_RafDephosByAkt,0.9428200000000001,-293.0865297474202,18,157,2826
31,MekPhosByPI3K_PI3KPhosByMek,1.28414,-287.5250854374772,31,223,6913
