ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,0.6138680000000001,-708.8102480800228,0,238,0
1,MekPhosByAkt,0.2886,-416.39553702969357,2,108,216
2,PI3KPhosByTGFbR,0.5532590000000001,-404.68141423024724,7,221,1547
3,ErkPhosByAkt,0.25997,-418.27609434843856,1,89,89
4,PI3KDephosByErk,0.545913,-404.92201346079855,6,217,1302
5,MekPhosByPI3K,0.542706,-405.0280674006859,5,201,1005
6,PI3KPhosByMek,0.47540299999999996,-407.41135508694117,3,180,540
7,MekDephosByAkt,0.516467,-405.92008155487844,4,190,760
8,RafDephosByAkt,0.57621,-403.9497874672818,8,232,1856
9,MekPhosByAkt_PI3KPhosByTGFbR,0.54271,-303.0279347326582,22,202,4444
10,MekPhosByAkt_ErkPhosByAkt,0.30894099999999997,-313.1695809010133,13,120,1560
11,MekPhosByAkt_PI3KDephosByErk,0.812466,-295.76495345466896,33,249,8217
12,MekPhosByAkt_MekPhosByPI3K,0.272383,-315.43652170992516,10,98,980
13,MekPhosByAkt_PI3KPhosByMek,0.476016,-305.3881602557956,18,184,3312
14,MekPhosByAkt_MekDephosByAkt,0.5431819999999999,-303.0122867666817,25,212,5300
15,MekPhosByAkt_RafDephosByAkt,0.31205700000000003,-312.988941122052,14,121,1694
16,PI3KPhosByTGFbR_ErkPhosByAkt,0.30788499999999996,-313.2312126045092,12,118,1416
17,PI3KPhosByTGFbR_PI3KDephosByErk,0.558891,-302.49910632825396,28,228,6384
18,PI3KPhosByTGFbR_MekPhosByPI3K,0.542712,-303.02786839901097,23,205,4715
19,PI3KPhosByTGFbR_PI3KPhosByMek,0.47349600000000003,-305.4837042963154,17,171,2907
20,PI3KPhosByTGFbR_MekDephosByAkt,0.5401779999999999,-303.11210979611275,21,198,4158
21,PI3KPhosByTGFbR_RafDephosByAkt,0.544117,-302.98132931312296,26,214,5564
22,ErkPhosByAkt_PI3KDephosByErk,0.411074,-308.02836821868743,16,134,2144
23,ErkPhosByAkt_MekPhosByPI3K,0.358172,-310.5080469407022,15,130,1950
24,ErkPhosByAkt_PI3KPhosByMek,1.0881,-290.50689663458405,35,253,8855
25,ErkPhosByAkt_MekDephosByAkt,0.255552,-316.5846202578758,9,84,756
26,ErkPhosByAkt_RafDephosByAkt,0.29920399999999997,-313.746025593901,11,113,1243
27,PI3KDephosByErk_MekPhosByPI3K,0.543053,-303.01656208465783,24,209,5016
28,PI3KDephosByErk_PI3KPhosByMek,0.592792,-301.4391022487545,31,236,7316
29,PI3KDephosByErk_MekDephosByAkt,0.5546409999999999,-302.63650762693914,27,223,6021
30,PI3KDephosByErk_RafDephosByAkt,0.518075,-303.8641263141855,20,192,3840
31,MekPhosByPI3K_PI3KPhosByMek,0.989924,-292.208979558718,34,252,8568
32,MekPhosByPI3K_MekDephosByAkt,0.5640649999999999,-302.33323578828947,29,229,6641
33,MekPhosByPI3K_RafDephosByAkt,0.515717,-303.9462396863276,19,188,3572
34,PI3KPhosByMek_MekDephosByAkt,1.16182,-289.3269123024206,36,255,9180
35,PI3KPhosByMek_RafDephosByAkt,0.739575,-297.4569241198524,32,243,7776
36,MekDephosByAkt_RafDephosByAkt,0.5857979999999999,-301.65273629925025,30,234,7020
37,MekPhosByAkt_PI3KPhosByTGFbR_ErkPhosByAkt,0.5447609999999999,-251.96003766915257,85,216,18360
38,MekPhosByAkt_PI3KPhosByTGFbR_PI3KDephosByErk,0.263327,-265.0451477581346,50,91,4550
39,MekPhosByAkt_PI3KPhosByTGFbR_MekPhosByPI3K,0.542712,-252.02786839901097,83,203,16849
