ModelID,Topology,RSS,AICc,# Estimated Parameters,AICc Rank,RSS Rank
0,Null,1.89068,-277.17591441661926,23,0,13
1,AktActivateSmad2,1.85694,-239.53604603766226,24,4,12
2,AktInhibitSmad2,1.94315,-238.62843811865207,24,5,15
3,ErkActivateSmad2,1.6741400000000002,-241.60865345929108,24,3,9
4,ErkInhibitSmad2,0.7098220000000001,-258.7694663631535,24,1,3
5,AktActivateSmad2_AktInhibitSmad2,1.31455,-221.11142410292786,25,7,6
6,AktActivateSmad2_ErkActivateSmad2,1.89743,-213.77130535851478,25,11,14
7,AktActivateSmad2_ErkInhibitSmad2,0.322454,-249.21720790931965,25,2,0
8,AktInhibitSmad2_ErkActivateSmad2,1.34971,-220.58351704655615,25,8,7
9,AktInhibitSmad2_ErkInhibitSmad2,1.2442799999999998,-222.21017115022548,25,6,5
10,ErkActivateSmad2_ErkInhibitSmad2,1.54808,-217.84100306937137,25,10,8
11,AktActivateSmad2_AktInhibitSmad2_ErkActivateSmad2,1.6813900000000002,-198.09365739697623,26,14,10
12,AktActivateSmad2_AktInhibitSmad2_ErkInhibitSmad2,0.580585,-219.3604553038703,26,9,1
13,AktActivateSmad2_ErkActivateSmad2_ErkInhibitSmad2,0.878577,-211.07510855837998,26,12,4
14,AktInhibitSmad2_ErkActivateSmad2_ErkInhibitSmad2,1.73262,-197.4933797674576,26,15,11
15,AktActivateSmad2_AktInhibitSmad2_ErkActivateSmad2_ErkInhibitSmad2,0.643459,-203.73258483186976,27,13,2
