ModelID,Topology,RSS,AICc,# Estimated Parameters,AICc Rank,RSS Rank
0,Null,1.28411,-132.36036561375244,23,7,15
1,AktActivateSmad2,0.8386540000000001,-132.5100657416915,24,6,9
2,AktInhibitSmad2,1.17658,-127.09296208639316,24,10,13
3,ErkActivateSmad2,0.8372209999999999,-132.5374281709753,24,5,8
4,ErkInhibitSmad2,0.378225,-145.25100924678966,24,0,3
5,AktActivateSmad2_AktInhibitSmad2,1.1887299999999998,-121.59525139038757,25,14,14
6,AktActivateSmad2_ErkActivateSmad2,0.8618959999999999,-126.73935019982324,25,11,10
7,AktActivateSmad2_ErkInhibitSmad2,0.34208,-141.5247899741638,25,1,1
8,AktInhibitSmad2_ErkActivateSmad2,1.17612,-121.76588539444526,25,13,12
9,AktInhibitSmad2_ErkInhibitSmad2,0.387121,-139.5457071289896,25,2,4
10,ErkActivateSmad2_ErkInhibitSmad2,0.774473,-128.45057925077498,25,9,6
11,AktActivateSmad2_AktInhibitSmad2_ErkActivateSmad2,1.11644,-118.23546236836046,26,15,11
12,AktActivateSmad2_AktInhibitSmad2_ErkInhibitSmad2,0.298975,-139.3161083302364,26,3,0
13,AktActivateSmad2_ErkActivateSmad2_ErkInhibitSmad2,0.345487,-137.00258740196634,26,4,2
14,AktInhibitSmad2_ErkActivateSmad2_ErkInhibitSmad2,0.777388,-124.02683434023373,26,12,7
15,AktActivateSmad2_AktInhibitSmad2_ErkActivateSmad2_ErkInhibitSmad2,0.423722,-130.10026274250535,27,8,5
