,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,,,127,127,16129
1,RafPhosByTGFbR,0.271405,-113.46859710256612,53,97,5141
2,PI3KPhosByTGFbR,0.394509,-108.98023970067469,71,115,8165
3,RafPhosByPI3K,0.135745,-121.78260563656335,27,73,1971
4,PI3KDephosByErk,0.397005,-108.90455664444582,73,118,8614
5,MekPhosByPI3K,0.135743,-121.78278243995797,26,71,1846
6,PI3KPhosByMek,0.379917,-109.43250945151627,69,110,7590
7,MekDephosByAkt,0.397005,-108.90455664444582,72,117,8424
8,RafPhosByTGFbR_PI3KPhosByTGFbR,0.268458,-107.31389513393961,82,94,7708
9,RafPhosByTGFbR_RafPhosByPI3K,0.10466800000000001,-118.61670762737725,32,57,1824
10,RafPhosByTGFbR_PI3KDephosByErk,0.297688,-106.07367736144707,90,101,9090
11,RafPhosByTGFbR_MekPhosByPI3K,0.10466800000000001,-118.61670762737725,33,58,1914
12,RafPhosByTGFbR_PI3KPhosByMek,0.179088,-112.17170119776442,55,88,4840
13,RafPhosByTGFbR_MekDephosByAkt,0.271408,-107.18275017448696,85,98,8330
14,PI3KPhosByTGFbR_RafPhosByPI3K,0.101702,-118.961665236993,30,38,1140
15,PI3KPhosByTGFbR_PI3KDephosByErk,0.393812,-102.71574520278662,103,114,11742
16,PI3KPhosByTGFbR_MekPhosByPI3K,0.102622,-118.85360084310105,31,46,1426
17,PI3KPhosByTGFbR_PI3KPhosByMek,0.374855,-103.30775744518041,98,108,10584
18,PI3KPhosByTGFbR_MekDephosByAkt,0.39381,-102.71580614572625,102,113,11526
19,RafPhosByPI3K_PI3KDephosByErk,0.774521,-94.59929157444807,119,122,14518
20,RafPhosByPI3K_MekPhosByPI3K,0.135745,-115.49689135084905,35,72,2520
21,RafPhosByPI3K_PI3KPhosByMek,0.055897800000000004,-126.14392857880246,22,26,572
22,RafPhosByPI3K_MekDephosByAkt,0.135803,-115.4917651852313,38,77,2926
23,PI3KDephosByErk_MekPhosByPI3K,0.135746,-115.4968029501286,37,74,2738
24,PI3KDephosByErk_PI3KPhosByMek,0.386846,-102.9299086873237,101,111,11211
25,PI3KDephosByErk_MekDephosByAkt,0.39700599999999997,-102.61881213245002,104,119,12376
26,MekPhosByPI3K_PI3KPhosByMek,0.098136,-119.38997759876196,29,31,899
27,MekPhosByPI3K_MekDephosByAkt,0.135746,-115.4968029501286,36,75,2700
28,PI3KPhosByMek_MekDephosByAkt,0.41145299999999996,-102.18989129178271,108,120,12960
29,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K,0.10259000000000001,-114.14305760004619,45,45,2025
30,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk,0.268823,-102.58330509966564,106,96,10176
31,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K,0.102156,-114.1939304649626,44,43,1892
32,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek,0.17444,-107.77297302954685,78,87,6786
33,RafPhosByTGFbR_PI3KPhosByTGFbR_MekDephosByAkt,0.268254,-102.6087316308878,105,93,9765
34,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,0.104673,-113.90184868567779,51,62,3162
35,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,0.10466800000000001,-113.90242191309154,47,56,2632
36,RafPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,0.0116543,-140.24384061775385,8,18,144
37,RafPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,0.10466800000000001,-113.90242191309154,49,54,2646
38,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,0.10466900000000001,-113.90230726541817,50,59,2950
39,RafPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,0.23245900000000003,-104.32737676055032,95,92,8740
40,RafPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,0.27147,-102.46572351286783,107,99,10593
41,RafPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,0.095486,-115.00418746666153,39,30,1170
42,RafPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,0.10466800000000001,-113.90242191309154,48,55,2640
43,RafPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,0.230082,-104.45071393975903,94,90,8460
44,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,0.10173600000000001,-114.24336847262029,42,39,1638
45,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,0.101569,-114.26308269952793,41,36,1476
46,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,0.00957333,-142.6041698573724,3,11,33
47,PI3KPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,0.159899,-108.81743475430173,74,84,6216
48,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,0.104902,-113.87562417327247,52,64,3328
49,PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,0.37488,-98.59267144812782,112,109,12208
50,PI3KPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,0.394525,-97.9797530296313,114,116,13224
51,PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,0.00976846,-142.3620372062815,4,14,56
52,PI3KPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,0.102148,-114.19487024098314,43,42,1806
53,PI3KPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,0.374844,-98.59382387222078,111,107,11877
54,RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,0.153392,-109.31598230922596,70,82,5740
55,RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,0.5421090000000001,-94.16633808646469,121,121,14641
56,RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,0.160697,-108.75769589432399,75,85,6375
57,RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,0.0516864,-122.36960685544705,25,25,625
58,RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,1.08237,-85.86904282180694,124,124,15376
59,RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.103351,-114.05437160196527,46,51,2346
60,PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,0.0406253,-125.2592508423854,23,24,552
61,PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,0.800678,-89.48643672033069,123,123,15129
62,PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,0.38750300000000004,-98.19526005685464,113,112,12656
63,MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.101306,-114.29419547111587,40,32,1280
64,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,0.111077,-109.52259262443373,68,68,4624
65,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,0.10156699999999999,-110.59665232775728,58,35,2030
66,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,0.00834356,-140.58739667290695,6,8,48
67,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,0.105853,-110.10066040850336,66,65,4290
68,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,0.101485,-110.60634442685989,56,33,1848
69,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,0.296259,-97.75046761775832,115,100,11500
70,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,0.268563,-98.92825019900495,110,95,10450
71,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,0.00974183,-138.7281286583766,9,13,117
72,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,0.102243,-110.5170484835141,60,44,2640
73,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,0.172322,-104.25289864272025,96,86,8256
74,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,0.104679,-110.23449418225752,65,63,4095
75,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,0.0634269,-116.24661973843469,34,27,918
76,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,0.124927,-108.11252167808041,77,70,5390
77,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,0.192064,-102.95133268076015,100,89,8900
78,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,0.10466700000000001,-110.23586989519359,63,53,3339
79,RafPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.31750100000000003,-96.91950486336594,117,104,12168
80,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,0.159253,-105.19934688762234,93,83,7719
81,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,0.10466900000000001,-110.2356405987515,64,60,3840
82,RafPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,0.23056999999999997,-100.75862243095271,109,91,9919
83,RafPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.30564600000000003,-97.37614564427449,116,103,11948
