ModelID,Topology,RSS,AICc,# Estimated Parameters,AICc Rank,RSS Rank
0,Null,0.966051,-136.91403797395125,23,3,15
1,AktActivateSmad2,0.5517770000000001,-139.20853368655253,24,2,6
2,AktInhibitSmad2,0.880782,-131.72587496516644,24,10,13
3,ErkActivateSmad2,0.669392,-136.11691994960537,24,5,8
4,ErkInhibitSmad2,0.40635,-144.1033996376966,24,0,4
5,AktActivateSmad2_AktInhibitSmad2,0.948927,-125.20019405836231,25,13,14
6,AktActivateSmad2_ErkActivateSmad2,0.589346,-132.82128885937192,25,8,7
7,AktActivateSmad2_ErkInhibitSmad2,0.382385,-139.74265674808723,25,1,0
8,AktInhibitSmad2_ErkActivateSmad2,0.8698020000000001,-126.5932544269097,25,12,12
9,AktInhibitSmad2_ErkInhibitSmad2,0.470846,-136.41300679322296,25,4,5
10,ErkActivateSmad2_ErkInhibitSmad2,0.7588020000000001,-128.77765003878224,25,11,9
11,AktActivateSmad2_AktInhibitSmad2_ErkActivateSmad2,0.8678879999999999,-122.26486487068381,26,15,11
12,AktActivateSmad2_AktInhibitSmad2_ErkInhibitSmad2,0.382744,-135.36400592173538,26,6,2
13,AktActivateSmad2_ErkActivateSmad2_ErkInhibitSmad2,0.383714,-135.32350792109906,26,7,3
14,AktInhibitSmad2_ErkActivateSmad2_ErkInhibitSmad2,0.832958,-122.92213612427216,26,14,10
15,AktActivateSmad2_AktInhibitSmad2_ErkActivateSmad2_ErkInhibitSmad2,0.382519,-131.73705081578217,27,9,1
