ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,1.64999,-279.8992609253186,0,15,0
1,AktActivate,1.19655,-248.3257971502176,2,8,16
2,ErkActivate,1.3137299999999998,-246.45723708114843,3,10,30
3,AktInhibit,1.4709299999999998,-244.19674839485407,4,14,56
4,ErkInhibit,1.05308,-250.88026139757358,1,4,4
5,AktActivate_ErkActivate,1.32775,-220.91159653133906,10,12,120
6,AktActivate_AktInhibit,1.20743,-222.8114294607522,8,9,72
7,AktActivate_ErkInhibit,0.598463,-236.8491236800432,5,0,0
8,ErkActivate_AktInhibit,1.32772,-220.91204842874328,9,11,99
9,ErkActivate_ErkInhibit,1.09149,-224.83043743251017,6,5,30
10,AktInhibit_ErkInhibit,1.17277,-223.39394269746492,7,7,49
11,AktActivate_ErkActivate_AktInhibit,1.3302,-202.77948790514472,14,13,182
12,AktActivate_ErkActivate_ErkInhibit,0.674365,-216.36574947500102,11,1,11
13,AktActivate_AktInhibit_ErkInhibit,0.739939,-214.50982461479026,12,2,24
14,ErkActivate_AktInhibit_ErkInhibit,1.10142,-206.55406891473888,13,6,78
15,AktActivate_ErkActivate_AktInhibit_ErkInhibit,0.868001,-197.74589371605418,15,3,45
