ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,1.87807,-277.3097523953429,0,8,0
1,AktActivate,1.02011,-251.51643617870417,2,5,10
2,ErkActivate,1.88014,-239.28772062799274,4,9,36
3,AktInhibit,1.85426,-239.56493157835916,3,7,21
4,ErkInhibit,0.800425,-256.3668943186305,1,2,2
5,AktActivate_ErkActivate,1.98908,-212.82786773215298,11,11,121
6,AktActivate_AktInhibit,1.02387,-226.10952082908477,8,6,48
7,AktActivate_ErkInhibit,0.711063,-233.4011970479341,5,1,5
8,ErkActivate_AktInhibit,1.94318,-213.29479601071645,10,10,100
9,ErkActivate_ErkInhibit,0.84144,-230.03412352056853,6,3,18
10,AktInhibit_ErkInhibit,0.844432,-229.96313347763902,7,4,28
11,AktActivate_ErkActivate_AktInhibit,557.055,-82.03279447610855,15,15,225
12,AktActivate_ErkActivate_ErkInhibit,0.587568,-219.12133994212581,9,0,0
13,AktActivate_AktInhibit_ErkInhibit,4.20394,-179.76563042668704,13,14,182
14,ErkActivate_AktInhibit_ErkInhibit,3.74374,-182.08437180731792,12,12,144
15,AktActivate_ErkActivate_AktInhibit_ErkInhibit,4.05894,-166.89620835544972,14,13,182
