ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,,,0,0,0
1,MekPhosByAkt,,,1,1,1
2,PI3KPhosByTGFbR,,,2,2,4
3,ErkPhosByAkt,,,3,3,9
4,PI3KDephosByErk,,,4,4,16
5,MekPhosByPI3K,,,5,5,25
6,PI3KPhosByMek,,,6,6,36
7,MekDephosByAkt,,,7,7,49
8,RafDephosByAkt,,,8,8,64
9,MekPhosByAkt_PI3KPhosByTGFbR,,,9,9,81
10,MekPhosByAkt_ErkPhosByAkt,,,10,10,100
11,MekPhosByAkt_PI3KDephosByErk,,,11,11,121
12,MekPhosByAkt_MekPhosByPI3K,,,12,12,144
13,MekPhosByAkt_PI3KPhosByMek,,,13,13,169
14,MekPhosByAkt_MekDephosByAkt,,,14,14,196
15,MekPhosByAkt_RafDephosByAkt,,,15,15,225
16,PI3KPhosByTGFbR_ErkPhosByAkt,,,16,16,256
17,PI3KPhosByTGFbR_PI3KDephosByErk,,,17,17,289
18,PI3KPhosByTGFbR_MekPhosByPI3K,,,18,18,324
19,PI3KPhosByTGFbR_PI3KPhosByMek,,,19,19,361
20,PI3KPhosByTGFbR_MekDephosByAkt,,,20,20,400
21,PI3KPhosByTGFbR_RafDephosByAkt,,,21,21,441
22,ErkPhosByAkt_PI3KDephosByErk,,,22,22,484
23,ErkPhosByAkt_MekPhosByPI3K,,,23,23,529
24,ErkPhosByAkt_PI3KPhosByMek,,,24,24,576
25,ErkPhosByAkt_MekDephosByAkt,,,25,25,625
26,ErkPhosByAkt_RafDephosByAkt,,,26,26,676
27,PI3KDephosByErk_MekPhosByPI3K,,,27,27,729
28,PI3KDephosByErk_PI3KPhosByMek,,,28,28,784
29,PI3KDephosByErk_MekDephosByAkt,,,29,29,841
30,PI3KDephosByErk_RafDephosByAkt,,,30,30,900
31,MekPhosByPI3K_PI3KPhosByMek,,,31,31,961
32,MekPhosByPI3K_MekDephosByAkt,,,32,32,1024
33,MekPhosByPI3K_RafDephosByAkt,,,33,33,1089
34,PI3KPhosByMek_MekDephosByAkt,,,34,34,1156
35,PI3KPhosByMek_RafDephosByAkt,,,35,35,1225
36,MekDephosByAkt_RafDephosByAkt,,,36,36,1296
37,MekPhosByAkt_PI3KPhosByTGFbR_ErkPhosByAkt,,,37,37,1369
38,MekPhosByAkt_PI3KPhosByTGFbR_PI3KDephosByErk,,,38,38,1444
39,MekPhosByAkt_PI3KPhosByTGFbR_MekPhosByPI3K,,,39,39,1521
40,MekPhosByAkt_PI3KPhosByTGFbR_PI3KPhosByMek,,,40,40,1600
41,MekPhosByAkt_PI3KPhosByTGFbR_MekDephosByAkt,,,41,41,1681
42,MekPhosByAkt_PI3KPhosByTGFbR_RafDephosByAkt,,,42,42,1764
