ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank
0,Null,453.916,163.50028363105412,110,125
1,RafPhosByTGFbR,178.487,105.2608278090234,32,90
2,PI3KPhosByTGFbR,451.915,166.57339822360112,114,121
3,RafPhosByPI3K,153.343,95.23948501846084,0,22
4,PI3KDephosByErk,446.876,165.83334300598432,112,119
5,MekPhosByPI3K,343.125,148.3970446356664,98,108
6,PI3KPhosByMek,437.865,164.48888950973458,111,114
7,MekDephosByAkt,453.426,166.79370436812798,115,124
8,RafPhosByTGFbR_PI3KPhosByTGFbR,170.875,105.88635931549395,33,82
9,RafPhosByTGFbR_RafPhosByPI3K,153.259,98.70536168622533,3,14
10,RafPhosByTGFbR_PI3KDephosByErk,202.2,116.99581007728294,93,95
11,RafPhosByTGFbR_MekPhosByPI3K,154.571,99.26796133104754,7,48
12,RafPhosByTGFbR_PI3KPhosByMek,162.466,102.55576528375997,17,80
13,RafPhosByTGFbR_MekDephosByAkt,193.19099999999997,113.98766407418248,86,93
14,PI3KPhosByTGFbR_RafPhosByPI3K,153.79,98.93363818240337,5,36
15,PI3KPhosByTGFbR_PI3KDephosByErk,452.522,170.1640289715978,120,123
16,PI3KPhosByTGFbR_MekPhosByPI3K,341.95,151.67268666049338,102,106
17,PI3KPhosByTGFbR_PI3KPhosByMek,440.42699999999996,168.3759787600803,118,118
18,PI3KPhosByTGFbR_MekDephosByAkt,452.52099999999996,170.16388312217404,119,122
19,RafPhosByPI3K_PI3KDephosByErk,153.881,98.9726798871798,6,39
20,RafPhosByPI3K_MekPhosByPI3K,153.41899999999998,98.77422871260553,4,27
21,RafPhosByPI3K_PI3KPhosByMek,155.736,99.76353739772293,8,54
22,RafPhosByPI3K_MekDephosByAkt,178.59400000000002,108.80242267729541,53,91
23,PI3KDephosByErk_MekPhosByPI3K,336.559,150.62387673318543,101,103
24,PI3KDephosByErk_PI3KPhosByMek,427.075,166.34416420356845,113,110
25,PI3KDephosByErk_MekDephosByAkt,440.315,168.35919291351038,117,116
26,MekPhosByPI3K_PI3KPhosByMek,343.204,151.9142793313803,103,109
27,MekPhosByPI3K_MekDephosByAkt,331.722,149.66844757982273,100,101
28,PI3KPhosByMek_MekDephosByAkt,434.04,167.4118497622149,116,112
29,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K,170.9,109.54397397427789,59,83
30,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk,172.623,110.20604873268289,70,89
31,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K,154.459,102.86808049709391,20,45
32,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek,154.753,102.9935866601617,23,51
33,RafPhosByTGFbR_PI3KPhosByTGFbR_MekDephosByAkt,171.628,109.82452372406702,61,86
34,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,154.694,102.96841918368149,22,49
35,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,154.784,103.00680640453372,24,52
36,RafPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,157.267,104.05715688405215,29,63
37,RafPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,171.799,109.89024948781129,65,87
38,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,155.208,103.18735311187442,26,53
39,RafPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,156.0,103.52328350472536,28,57
40,RafPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,179.30700000000002,112.7133487834077,81,92
41,RafPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,141.22799999999998,96.95757700136858,1,3
42,RafPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,154.54399999999998,102.90439082509396,21,47
43,RafPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,155.998,103.5224373454551,27,55
44,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,153.67,102.53007846669381,15,31
45,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,153.684,102.53609107756363,16,32
46,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,153.878,102.61935234975002,19,38
47,PI3KPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,153.605,102.50215559588435,14,29
48,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,338.468,154.64513753558663,106,105
49,PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,440.42400000000004,172.0234883785038,123,117
50,PI3KPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,451.89099999999996,173.71989304660437,124,120
51,PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,341.959,155.32238291737406,107,107
52,PI3KPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,,,126,126
53,PI3KPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,438.531,171.7392003474414,122,115
54,RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,153.269,102.35762716492067,12,15
55,RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,143.149,97.84926605172012,2,5
56,RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,153.29399999999998,102.36839167338164,13,19
57,RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,153.171,102.31541335327401,11,13
58,RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,153.744,102.56185320756012,18,34
59,RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,157.993,104.36113509062763,30,70
60,PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,336.54699999999997,154.2694826470913,105,102
61,PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,312.92900000000003,149.4672246576261,99,98
62,PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,436.837,171.48375546125197,121,113
63,MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,331.707,153.31342226929962,104,99
64,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,159.389,108.74493035828718,52,72
65,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,154.121,106.5266870559903,42,43
66,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,152.66299999999998,105.89934844318415,34,10
67,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,153.526,106.27139414584894,38,28
68,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,154.189,106.55580061100164,43,44
69,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,158.416,108.34079448470808,51,71
70,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,170.933,113.35990852827504,83,84
71,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,157.25,107.8532136239339,48,62
72,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,172.544,113.97902875865995,85,88
73,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,156.363,107.47987351302234,47,61
74,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,165.813,111.35278124056018,78,81
75,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,139.334,99.8696577988745,9,1
76,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,153.27200000000002,106.16211048800125,35,17
