ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank
70,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,171.173,113.4525114,64,84
71,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,157.402,107.9169793,29,62
72,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,172.544,113.9790288,66,88
73,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,157.268,107.860768,28,57
74,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,167.566,116.0154282,78,79
75,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,141.875,105.0309878,7,2
76,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,153.595,110.2695979,46,20
77,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,158.038,112.1516698,61,65
78,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,171.754,117.6446987,87,86
79,RafPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,139.972,104.1397247,6,1
80,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,157.351,111.8641388,60,59
81,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,153.307,110.1457277,39,10
82,RafPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,156.897,111.6734357,58,55
83,RafPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,156.358,111.4463106,57,53
84,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,153.344,110.1616546,41,12
85,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,153.835,110.3726457,49,29
86,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,170.767,117.2643297,85,81
87,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,154.086,110.4802448,53,38
88,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,160.589,113.2085144,63,72
89,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,153.674,110.3035355,47,22
90,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,337.166,162.1625019,111,106
91,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,281.826,150.3296569,96,97
92,PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,433.308,178.7201464,126,113
93,PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,331.707,161.0851614,109,102
94,RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,162.38,118.0854453,88,75
95,RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,309.156,160.5832899,107,98
96,RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,162.673,118.204429,89,77
97,RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,159.848,117.0481957,83,71
98,PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,279.034,153.8174738,97,96
99,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,153.793,110.354624,48,27
100,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,154.078,110.476818,52,37
101,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,153.436,110.2012399,42,14
102,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,152.554,109.8207559,36,6
103,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,153.493,110.2257537,43,16
104,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,157.342,111.8603636,59,58
105,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,154.113,110.4918087,54,39
106,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,154.561,110.6833896,55,43
107,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,154.745,110.7619138,56,47
108,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,146.5,107.1482044,23,4
109,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,139.322,107.9774485,30,0
110,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,153.42,114.3392848,69,13
111,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,157.352,116.0094857,76,60
