ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,2.7007,256.516581677789,0,12,0
1,AktActivate,2.14267,376.0357497322883,2,8,16
2,ErkActivate,2.59615,381.4111019095782,3,10,30
3,AktInhibit,2.73204,382.83963403600853,4,13,52
4,ErkInhibit,1.45438,365.1865051182932,1,0,0
5,AktActivate_ErkActivate,2.9994400000000003,637.4541906432518,10,15,150
6,AktActivate_AktInhibit,2.17105,628.4041795168788,8,9,72
7,AktActivate_ErkInhibit,1.48559,617.7810097080014,6,2,12
8,ErkActivate_AktInhibit,2.9942599999999997,637.4057931471773,9,14,126
9,ErkActivate_ErkInhibit,1.9715200000000002,625.7048086427283,7,7,49
10,AktInhibit_ErkInhibit,1.4841600000000001,617.7540444731536,5,1,5
11,AktActivate_ErkActivate_AktInhibit,2.62075,1389.6751687329095,14,11,154
12,AktActivate_ErkActivate_ErkInhibit,1.88975,1380.5187209804185,13,6,78
13,AktActivate_AktInhibit_ErkInhibit,1.88073,1380.3847536967849,12,5,60
14,ErkActivate_AktInhibit_ErkInhibit,1.8680599999999998,1380.195486572839,11,4,44
15,AktActivate_ErkActivate_AktInhibit_ErkInhibit,1.51642,,15,3,45
