ModelID,Topology,RSS,AICc,# Estimated Parameters,AICc Rank,RSS Rank
0,Null,1.72741,-278.98218193319155,23,0,12
1,AktActivateSmad2,0.743728,-257.8362435189143,24,1,2
2,AktInhibitSmad2,1.6817400000000002,-241.51806603670198,24,4,11
3,ErkActivateSmad2,1.47671,-244.11831266446325,24,3,10
4,ErkInhibitSmad2,1.04841,-250.96915085576447,24,2,8
5,AktActivateSmad2_AktInhibitSmad2,1.88455,-213.90753082555153,25,11,15
6,AktActivateSmad2_ErkActivateSmad2,0.7456510000000001,-232.45126447099574,25,6,3
7,AktActivateSmad2_ErkInhibitSmad2,0.728272,-232.92292562160202,25,5,1
8,AktInhibitSmad2_ErkActivateSmad2,1.87611,-213.99730245255645,25,10,14
9,AktInhibitSmad2_ErkInhibitSmad2,1.14671,-223.84337268373005,25,8,9
10,ErkActivateSmad2_ErkInhibitSmad2,1.0438,-225.72395413320297,25,7,7
11,AktActivateSmad2_AktInhibitSmad2_ErkActivateSmad2,1.84818,-196.202046621037,26,15,13
12,AktActivateSmad2_AktInhibitSmad2_ErkInhibitSmad2,0.8936559999999999,-210.7347613491155,26,12,5
13,AktActivateSmad2_ErkActivateSmad2_ErkInhibitSmad2,0.727196,-214.85725877618944,26,9,0
14,AktInhibitSmad2_ErkActivateSmad2_ErkInhibitSmad2,1.03741,-207.75152959506786,26,13,6
15,AktActivateSmad2_AktInhibitSmad2_ErkActivateSmad2_ErkInhibitSmad2,0.870826,-197.6809073203852,27,14,4
