ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f,"sum(AICc, RSS ranks)"
58,RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,26.5338,-5.61979397347014,114,113,341808.4116,227
59,RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,18.9052,-27.9926307543895,28,15,7940.184,43
60,PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,27.9167,-2.26661882293985,117,117,382151.7063,234
61,PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,19.9491,-24.4453278939131,55,78,85581.639,133
62,PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,19.4019,-26.2809878817223,34,30,19789.938,64
63,MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,25.7473,-7.60570920525748,110,111,314374.533,221
64,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,19.7234,-21.0513669320786,70,56,77315.728,126
65,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,18.4762,-25.3626407610775,43,9,7150.2894,52
66,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,19.218,-22.7646218766424,64,26,31978.752,90
67,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,18.4751,-25.3665702574698,42,8,6207.6336,50
68,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,20.0256,-20.0477902736209,79,85,134471.904,164
69,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,18.25,-26.1756510251964,36,4,2628,40
70,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,19.7234,-21.0513669320786,71,55,77019.877,126
71,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,27.9925,2.05727042496877,120,120,403092,240
72,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,27.9923,2.05679886840342,119,118,393067.8766,237
73,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,19.5481,-21.6405920365709,67,40,52388.908,107
74,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,19.7056,-21.1109575927501,69,49,66624.6336,118
75,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,19.2132,-22.7811084813618,63,25,30260.79,88
76,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,18.6519,-24.7379771470382,51,14,13317.4566,65
77,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,16.9538,-31.0380744727065,10,0,0,10
78,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,20.0764,-19.8805765788715,80,89,142943.968,169
79,RafPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,18.5434,-25.1230268878018,46,11,9382.9604,57
80,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,18.9778,-23.5947345585458,60,19,21634.692,79
81,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,20.0809,-19.8657847476855,81,92,149642.8668,173
82,RafPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,20.3569,-18.9648315370712,87,102,180647.1306,189
83,RafPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,17.5282,-28.8390194792399,17,1,297.9794,18
84,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,20.0035,-20.1206672630211,78,82,127942.386,160
85,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,18.3028,-25.9849787689683,39,6,4282.8552,45
86,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,19.9766,-20.2094814614804,77,79,121517.6578,156
87,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,19.8551,-20.61212683545,74,68,99910.8632,142
88,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,19.5611,-21.5967148909581,68,41,54536.3468,109
89,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,20.6549,-18.0056760670564,88,104,189033.6448,192
90,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,19.5017,-21.7974379841174,65,36,45633.978,101
91,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,19.8998,-20.4637073327841,76,75,113428.86,151
92,PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,19.8352,-20.6783092583622,73,65,94118.024,138
93,PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,18.9339,-23.7475845386311,59,17,18990.7017,76
94,RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,19.1001,-23.1707706447732,61,24,27962.5464,85
95,RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,28.6054,3.48675743159649,123,124,436289.5608,247
96,RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,21.5558,-15.1879814637238,101,105,228599.259,206
97,RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,27.8205,1.65048218793332,118,116,380807.004,234
98,PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,20.3368,-19.0300308238347,84,101,172537.4112,185
99,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,22.8665,-6.95879778485372,112,109,279154.232,221
100,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,19.0613,-18.9716462703569,86,23,37703.2514,109
101,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,20.0161,-15.7457742925361,99,83,164472.2937,182
102,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,18.9822,-19.2461009090217,83,22,34661.4972,105
103,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,18.4749,-21.0339514031622,72,7,9311.3496,79
104,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,19.7056,-16.7776242594168,93,48,87965.7984,141
105,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,18.9784,-19.2593146095869,82,21,32680.8048,103
106,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,27.9924,6.39036798044058,124,119,413055.8544,243
107,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,19.708,-16.7695864247508,94,51,94480.152,145
108,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,20.2615,-14.9415257566565,102,100,206667.3,202
109,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,19.4848,-17.5213244612243,90,34,59623.488,124
110,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,22.6142,-7.69106315525704,109,107,263749.4146,216
111,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,18.6159,-20.5321533924314,75,12,16754.31,87
112,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,19.8207,-16.3932411285749,95,61,114860.9565,156
113,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,19.8418,-16.3230186195866,96,67,127622.4576,163
114,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,19.6586,-16.9352294679085,92,45,81386.604,137
115,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,19.5435,-17.3227914520328,91,39,69359.8815,130
116,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,19.3868,-17.8541131143128,89,29,50037.3308,118
117,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,18.3,-21.6617430238173,66,5,6039,71
118,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,28.0192,6.45352633103155,126,123,434241.5616,249
119,RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,27.9925,6.39060375830211,125,121,423386.5625,246
120,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,18.6215,-15.9774186613454,98,13,23723.791,111
121,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,20.0293,-11.1673799545785,107,86,184309.6186,193
122,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,19.6975,-12.2698754597252,104,46,94232.84,150
123,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,19.705,-12.244750150114,105,47,97244.175,152
124,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,28.0046,10.9540103853267,127,122,433903.2724,249
125,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,18.9782,-14.7251264198686,103,20,39095.092,123
126,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,19.7918,-11.9546603594107,106,60,125875.848,166
127,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,19.7077,-7.48487681483829,111,50,109377.735,161
