ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
61,PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,27.6432,-761.438148388811,53,94,137718.4224
62,PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,27.471,-761.85057338936,51,79,110680.659
63,MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,20.4816,-781.228436113843,40,36,29493.504
64,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,28.5482,-692.017898795972,95,111,301040.769
65,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,27.6154,-694.210438510128,85,91,213605.119
66,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,25.4562,-699.583779661626,77,67,131328.5358
67,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,25.3896,-699.756678997022,76,66,127354.2336
68,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,21.6017,-710.420142317093,72,42,65323.5408
69,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,30.0479,-688.638772175907,98,121,356307.9982
70,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,27.4709,-694.556695996096,79,78,169275.6858
71,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,19.6115,-716.799430821341,67,26,34163.233
72,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,28.4369,-692.275713885911,94,109,291364.4774
73,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,26.5878,-696.713232705287,78,70,145169.388
74,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,27.7521,-693.884535468365,91,99,250018.6689
