Time,pAkt,pSmad2,ppErk,pS6K,GrowthFactors_indep,TGFb_indep,Everolimus_indep,AZD_indep,MK2206_indep,ExperimentIndicator_indep
0,,,,,1,0,0,1,0,5
24,,,,,1,0,0,1,0,5
48,,,,,1,0,0,1,0,5
70.25,,,,,0,0,0,1,0,5
70.75,,,,,0,0,0,1,0,5
71.25,,,,,0,1,0,1,0,5
72,4.647324655,14.15427095,1.744375111,14.18833265,0,1,0,1,0,5
