Time,pAkt,pSmad2,ppErk,pS6K,GrowthFactors_indep,TGFb_indep,Everolimus_indep,AZD_indep,MK2206_indep,ExperimentIndicator_indep
0,,,,,1,0,1,0,1,9
24,,,,,1,0,1,0,1,9
48,,,,,1,0,1,0,1,9
70.25,,,,,0,0,1,0,1,9
70.75,,,,,0,0,1,0,1,9
71.25,,,,,0,1,1,0,1,9
72,5.578343299,8.542233848,18.38429616,6.417520429,0,1,1,0,1,9
