Time,pAkt,pSmad2,ppErk,pS6K,GrowthFactors_indep,TGFb_indep,Everolimus_indep,AZD_indep,MK2206_indep,ExperimentIndicator_indep
0,,,,,1,0,1,0,0,4
24,,,,,1,0,1,1,0,4
48,,,,,1,0,1,1,0,4
70.25,,,,,0,0,1,1,0,4
70.75,,,,,0,0,1,1,0,4
71.25,,,,,0,1,1,1,0,4
72,14.17968162,14.06642547,1.690982496,4.924897364,0,1,1,1,0,4
