Time	pAkt	pSmad2	ppErk	pS6K	GrowthFactors_indep	TGFb_indep	Everolimus_indep	AZD_indep	MK2206_indep
0.0					1	0	0	0	0
24.0					1	0	0	0	0
48.0					1	0	0	0	1
70.25					0	0	0	0	1
70.75					0	0	0	0	1
71.25					0	1	0	0	1
72.0	5.873276375	7.173259446	8.330804873	11.07781066	0	1	0	0	1
