ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,0.841259,-178.21358851225665,2,227,454
1,MekPhosByAkt,0.814434,-157.69968129949518,26,216,5616
2,PI3KPhosByTGFbR,0.838209,-157.26807011035228,27,221,5967
3,ErkPhosByAkt,0.8411860000000001,-157.21489018928108,29,225,6525
4,PI3KDephosByErk,0.8411649999999999,-157.21526466523767,28,224,6272
5,MekPhosByPI3K,0.8796440000000001,-156.54432299875842,33,235,7755
6,PI3KPhosByMek,0.69118,-160.16107797297474,20,192,3840
7,MekDephosByAkt,0.35835100000000003,-170.01438790620648,5,140,700
8,RafDephosByAkt,0.186596,-179.80289442192128,0,74,0
9,MekPhosByAkt_PI3KPhosByTGFbR,0.963169,-141.18364885649652,139,245,34055
10,MekPhosByAkt_ErkPhosByAkt,0.8412270000000001,-143.21415909649932,130,226,29380
11,MekPhosByAkt_PI3KDephosByErk,0.750055,-144.93488414364123,102,201,20502
12,MekPhosByAkt_MekPhosByPI3K,0.8412790000000001,-143.21323190812643,131,228,29868
13,MekPhosByAkt_PI3KPhosByMek,0.80793,-143.81995088469296,119,212,25228
14,MekPhosByAkt_MekDephosByAkt,0.302138,-158.5738242015792,24,124,2976
15,MekPhosByAkt_RafDephosByAkt,0.207734,-164.19320597437672,12,90,1080
16,PI3KPhosByTGFbR_ErkPhosByAkt,0.641051,-147.29044694719198,84,184,15456
17,PI3KPhosByTGFbR_PI3KDephosByErk,0.641212,-147.2866801692179,85,185,15725
18,PI3KPhosByTGFbR_MekPhosByPI3K,0.837694,-143.27728902128348,129,220,28380
19,PI3KPhosByTGFbR_PI3KPhosByMek,0.717073,-145.60941747335724,97,194,18818
20,PI3KPhosByTGFbR_MekDephosByAkt,0.464543,-152.121270301844,54,175,9450
21,PI3KPhosByTGFbR_RafDephosByAkt,0.517965,-150.48846711512834,63,180,11340
22,ErkPhosByAkt_PI3KDephosByErk,0.8691760000000001,-142.72389765520225,136,231,31416
23,ErkPhosByAkt_MekPhosByPI3K,0.96652,-141.1315523264064,140,247,34580
24,ErkPhosByAkt_PI3KPhosByMek,0.84673,-143.11635412581825,134,230,30820
25,ErkPhosByAkt_MekDephosByAkt,0.206298,-164.29725632010428,11,88,968
26,ErkPhosByAkt_RafDephosByAkt,0.104687,-174.47245801293656,3,18,54
27,PI3KDephosByErk_MekPhosByPI3K,0.680041,-146.40478584421248,92,188,17296
28,PI3KDephosByErk_PI3KPhosByMek,0.800504,-143.95845926174667,114,207,23598
29,PI3KDephosByErk_MekDephosByAkt,0.403662,-154.22841378939748,43,167,7181
30,PI3KDephosByErk_RafDephosByAkt,0.27476,-159.99861236108,21,117,2457
31,MekPhosByPI3K_PI3KPhosByMek,0.800667,-143.95540524689324,115,208,23920
32,MekPhosByPI3K_MekDephosByAkt,0.175189,-166.74910133411902,9,58,522
33,MekPhosByPI3K_RafDephosByAkt,0.240443,-161.9998363729893,15,111,1665
34,PI3KPhosByMek_MekDephosByAkt,0.338679,-156.86129085931435,31,137,4247
35,PI3KPhosByMek_RafDephosByAkt,0.153675,-168.7144824593691,7,42,294
36,MekDephosByAkt_RafDephosByAkt,0.18711,-165.76163201317308,10,77,770
