ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,1.55067,-281.14090355909843,0,10,0
1,AktActivate,0.672592,-259.8469729488566,1,3,3
2,ErkActivate,1.69228,-241.39311082854923,4,14,56
3,AktInhibit,1.5643,-242.96587667936808,3,11,33
4,ErkInhibit,0.831885,-255.5958668484438,2,6,12
5,AktActivate_ErkActivate,1.68592,-216.13508396036485,10,13,130
6,AktActivate_AktInhibit,0.848944,-229.85655323372904,7,7,49
7,AktActivate_ErkInhibit,0.600608,-236.77756820791242,5,1,5
8,ErkActivate_AktInhibit,1.74387,-215.4591765092656,11,15,165
9,ErkActivate_ErkInhibit,0.874656,-229.25980439339804,8,8,64
10,AktInhibit_ErkInhibit,0.771729,-231.76374867483537,6,4,24
11,AktActivate_ErkActivate_AktInhibit,1.6832599999999998,-198.07142625623302,15,12,180
12,AktActivate_ErkActivate_ErkInhibit,0.533014,-221.07022581740318,9,0,0
13,AktActivate_AktInhibit_ErkInhibit,0.7900729999999999,-213.19867269704568,12,5,60
14,ErkActivate_AktInhibit_ErkInhibit,0.999566,-208.49475592661355,13,9,117
15,AktActivate_ErkActivate_AktInhibit_ErkInhibit,0.612352,-204.7236054393636,14,2,28
