,pAkt_1,pAkt_10,pAkt_2,pAkt_3,pAkt_4,pAkt_5,pAkt_6,pAkt_7,pAkt_8,pAkt_9,pS6K_1,pS6K_2,pS6K_3,pS6K_4,pS6K_5,pS6K_6,pS6K_7,pS6K_8,pSmad1_1,pSmad1_2,pSmad1_3,pSmad1_4,pSmad1_5,pSmad1_6,ppErk_1,ppErk_10,ppErk_2,ppErk_3,ppErk_4,ppErk_5,ppErk_6,ppErk_7,ppErk_8,ppErk_9
69,0.0,0.0,4.987566126768428e-06,3.805571245463213e-06,8.79313737223164e-06,0.001983642386365281,0.0,0.0,0.0019859471621521685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.372378885150965e-07,1.0727036201529927e-06,0.0,1.8745568668876444e-05,0.0,0.0,8.159304343280382e-10,1.0971348274324555e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,2.7833701280594036e-07,0.0,2.969030965527253e-08,4.296234741292537e-05,0.0,0.0,4.2818959098904485e-05,0.0,0.0,0.001988355407249287,0.0,0.0019475694114419184,0.0,0.0011450915248190086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3969732865225524e-09
71,0.0,0.0,1.2296064855199518e-07,0.0,0.0,0.0020193460850301825,0.0,0.0,0.0020065661932793244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.354634285164138e-06,0.0,1.3364153268469181e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7769252735888585e-10
72,0.0,0.0,0.0,5.223655624442269e-07,1.6641894939883883e-07,6.0990763913096324e-05,0.0,0.0,6.124347109849604e-05,0.0,0.0,0.00022493867471951035,0.0,0.00022923477932579317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1001645816577366e-08,1.5057821656228043e-09,0.0,0.0,0.0,0.0,0.0,0.0,8.318579602928367e-09
73,0.0,0.0,0.0,1.4016058599963799e-05,1.397605358022247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1106649578969154e-08,0.0,0.0,7.710766864121865e-06,0.0,0.0,3.9807446228223853e-10,1.7678303265711293e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.004173725746143386,0.0,0.0,0.004160426799816985,0.0,0.0,0.0004795875399850047,0.0,0.0004802744402780945,0.0,0.00035460330892078673,0.0,0.0,0.0,0.0,7.247821578459934e-07,0.0,2.047172164765243e-05,0.0,0.0,0.0,2.8705926524708048e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.3358203432289883e-11
75,0.0,0.0,0.0,0.0,0.0,0.0045279900102310755,0.0,0.0,0.004515056639138315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3332726243552315e-05,0.0,0.0,0.0,0.0,0.0,2.098659024341032e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,1.0421333938026578e-06,0.0,0.0,0.11279878438245206,0.0,0.0,0.11280180125116956,0.0,0.0,5.212806473764431e-05,0.0,5.2127509277966055e-05,0.0,5.129695321670624e-05,0.0,0.0,0.0,0.0,2.4371610507500918e-08,0.0,9.134446472103264e-06,0.0,0.0,2.2680524125462398e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5361048250924796e-11
77,0.0,0.0,1.0273711430475174e-06,0.0,0.0,7.46089212577683e-06,0.0,0.0,0.0,0.0,0.0,0.008908702336057672,0.0,0.008733052146524756,0.0,0.0,0.0,0.0,0.0,0.0,8.310804044953102e-07,0.0,0.0006021745701332293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0442136044730432e-10
78,0.0,0.0,7.258611873783849e-07,0.0,3.593936980239576e-07,0.0007061026342828902,0.0,0.0,0.0007071198572608517,0.0,0.0,4.830052859006173e-06,0.0,4.820041681341536e-06,0.0,3.7057356507830264e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.217058788746897e-05,0.0,0.0,5.4569682106375694e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.668177204323001e-11
79,0.0,0.0,0.0,0.0,0.0,0.0175087422124669,0.0,0.0,0.017624478509876695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.353187003289463e-06,0.0,0.0,3.3761011763999704e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2344579519995023e-09
80,0.0,0.0,0.0,0.0,0.0,0.0020685808787153093,0.0,0.0,0.0020681153031336663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.688198338546727e-07,0.0,1.133138331255168e-05,0.0,0.0,5.3944404498906806e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4165379980113357e-10
81,0.0,0.0,5.920674790438341e-07,0.0,4.563160160842017e-07,0.027249954756265016,0.0,0.0,0.027249444102973808,0.0,0.0,5.774031534144797e-05,0.0,5.773905544970148e-05,0.0,5.1818879100551385e-05,0.0,0.0,0.0,1.1148867962162967e-07,1.386413668313935e-07,0.0,4.0597643870654565e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.00010524186605209707,5.8593721782074226e-05,0.038370673909327024,0.0,0.0,0.03827860482078904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2291750936199719e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13
83,0.0,0.0,0.0,1.094301289028543e-06,7.648491203715579e-07,0.0007055235344513022,0.0,0.0,0.0007054246895493721,0.0,0.0,3.61639332879804e-06,0.0,3.6315875320269697e-06,0.0,0.0,0.0,0.0,0.0,2.528782570010435e-07,0.0,0.0,2.226018721529499e-05,0.0,0.0,0.0,2.7114310796605423e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.9736035028472543e-10
84,0.0,0.0,2.1925102462461155e-06,9.395824333680025e-06,1.158833457992614e-05,0.012265748675728716,0.0,0.0,0.012260050105446396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54185490433656e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5650949687114917e-10
