ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
0,Null,0.548424,-184.6313515451646,0,236,0
1,MekPhosByAkt,0.54477,-163.73162689266798,5,235,1175
2,PI3KPhosByTGFbR,0.513831,-164.60866593702036,4,220,880
3,ErkPhosByAkt,0.269608,-174.28254641843915,1,123,123
4,PI3KDephosByErk,0.4732270000000001,-165.84345436922385,2,208,416
5,MekPhosByPI3K,0.5518649999999999,-163.5375304340339,8,240,1920
6,PI3KPhosByMek,0.658949,-160.87739007842137,13,252,3276
7,MekDephosByAkt,0.550195,-163.5829907885951,6,238,1428
8,RafDephosByAkt,0.489131,-165.34762699239064,3,210,630
9,MekPhosByAkt_PI3KPhosByTGFbR,0.217971,-163.4716518050071,9,79,711
10,MekPhosByAkt_ErkPhosByAkt,0.273143,-160.08715018773847,15,126,1890
11,MekPhosByAkt_PI3KDephosByErk,0.401637,-154.3038517671485,24,176,4224
12,MekPhosByAkt_MekPhosByPI3K,0.43926,-152.9607098079661,34,200,6800
13,MekPhosByAkt_PI3KPhosByMek,0.5332140000000001,-150.05323953340525,50,233,11650
14,MekPhosByAkt_MekDephosByAkt,0.686941,-146.25335608285627,73,254,18542
15,MekPhosByAkt_RafDephosByAkt,0.921698,-141.84381788485783,126,255,32130
16,PI3KPhosByTGFbR_ErkPhosByAkt,0.216558,-163.56920605205192,7,66,462
17,PI3KPhosByTGFbR_PI3KDephosByErk,0.398896,-154.40657123198645,23,169,3887
18,PI3KPhosByTGFbR_MekPhosByPI3K,0.513541,-150.6171341454503,40,214,8560
19,PI3KPhosByTGFbR_PI3KPhosByMek,0.513834,-150.608578359843,42,222,9324
20,PI3KPhosByTGFbR_MekDephosByAkt,0.5138159999999999,-150.60910383057725,41,218,8938
21,PI3KPhosByTGFbR_RafDephosByAkt,0.518202,-150.48160528675126,47,228,10716
22,ErkPhosByAkt_PI3KDephosByErk,0.405113,-154.17459159323252,26,181,4706
23,ErkPhosByAkt_MekPhosByPI3K,0.269097,-160.3110035602847,14,122,1708
24,ErkPhosByAkt_PI3KPhosByMek,0.221465,-163.23311374942946,10,83,830
25,ErkPhosByAkt_MekDephosByAkt,0.253947,-161.18019844383934,11,102,1122
26,ErkPhosByAkt_RafDephosByAkt,0.323995,-157.5261609476479,16,146,2336
27,PI3KDephosByErk_MekPhosByPI3K,0.620239,-147.78550888681093,64,247,15808
28,PI3KDephosByErk_PI3KPhosByMek,0.42992,-153.2830950282575,32,197,6304
29,PI3KDephosByErk_MekDephosByAkt,0.395012,-154.55334003846767,21,163,3423
30,PI3KDephosByErk_RafDephosByAkt,0.39579,-154.52382568780828,22,165,3630
31,MekPhosByPI3K_PI3KPhosByMek,0.629745,-147.55735756812612,66,248,16368
