ModelID,Topology,RSS,AICc,AICc Rank,RSS Rank,f
246,ErkPhosByAkt_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt_RafDephosByAkt,9.3799,-51.50335956,0,0,0
216,ErkPhosByAkt_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt_RafDephosByAkt,10.1505,-51.27498297,1,1,1
80,ErkPhosByAkt_PI3KPhosByMek_MekDephosByAkt,11.766,-50.81308789,2,8,16
186,MekPhosByAkt_ErkPhosByAkt_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,10.4928,-49.08600438,3,2,6
217,ErkPhosByAkt_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt_RafDephosByAkt,10.6781,-47.93063429,4,3,12
176,MekPhosByAkt_PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,10.7364,-47.57126942,5,4,20
205,PI3KPhosByTGFbR_ErkPhosByAkt_MekPhosByPI3K_PI3KPhosByMek_RafDephosByAkt,10.8481,-46.88816202,6,5,30
1,MekPhosByAkt,14.2865,-46.48068151,7,104,728
55,MekPhosByAkt_PI3KPhosByMek_MekDephosByAkt,12.7273,-45.62975966,8,14,112
14,MekPhosByAkt_MekDephosByAkt,13.6494,-45.34663904,9,52,468
3,ErkPhosByAkt,14.7004,-44.59574336,10,134,1340
189,MekPhosByAkt_ErkPhosByAkt_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,11.3346,-43.99273906,11,6,66
25,ErkPhosByAkt_MekDephosByAkt,14.0486,-43.44404503,12,88,1056
52,MekPhosByAkt_MekPhosByPI3K_PI3KPhosByMek,13.1632,-43.40715918,13,24,312
10,MekPhosByAkt_ErkPhosByAkt,14.1569,-42.93720522,14,94,1316
23,ErkPhosByAkt_MekPhosByPI3K,14.1937,-42.76586483,15,99,1485
77,ErkPhosByAkt_MekPhosByPI3K_PI3KPhosByMek,13.3595,-42.43018198,16,30,480
62,PI3KPhosByTGFbR_ErkPhosByAkt_RafDephosByAkt,13.6092,-41.20797469,17,50,850
187,MekPhosByAkt_ErkPhosByAkt_PI3KDephosByErk_PI3KPhosByMek_RafDephosByAkt,11.9318,-40.60382977,18,9,162
42,MekPhosByAkt_PI3KPhosByTGFbR_RafDephosByAkt,13.7346,-40.60261201,19,56,1064
26,ErkPhosByAkt_RafDephosByAkt,14.6766,-40.55775665,20,131,2620
15,MekPhosByAkt_RafDephosByAkt,14.6906,-40.4948293,21,133,2793
50,MekPhosByAkt_PI3KDephosByErk_MekDephosByAkt,13.7728,-40.41930122,22,57,1254
13,MekPhosByAkt_PI3KPhosByMek,14.7788,-40.09976069,23,139,3197
24,ErkPhosByAkt_PI3KPhosByMek,14.802,-39.99623406,24,140,3360
124,MekPhosByAkt_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,13.0067,-39.66166504,25,19,475
82,ErkPhosByAkt_MekDephosByAkt_RafDephosByAkt,13.9649,-39.50510843,26,76,1976
53,MekPhosByAkt_MekPhosByPI3K_MekDephosByAkt,13.9738,-39.46305922,27,77,2079
61,PI3KPhosByTGFbR_ErkPhosByAkt_MekDephosByAkt,13.9777,-39.44464161,28,78,2184
109,MekPhosByAkt_ErkPhosByAkt_PI3KDephosByErk_PI3KPhosByMek,13.0954,-39.2131017,29,21,609
56,MekPhosByAkt_PI3KPhosByMek_RafDephosByAkt,14.0348,-39.17557564,30,85,2550
22,ErkPhosByAkt_PI3KDephosByErk,14.9912,-39.1579644,31,153,4743
9,MekPhosByAkt_PI3KPhosByTGFbR,15.0093,-39.07832571,32,155,4960
38,MekPhosByAkt_PI3KPhosByTGFbR_PI3KDephosByErk,14.0743,-38.99008399,33,91,3003
16,PI3KPhosByTGFbR_ErkPhosByAkt,15.0527,-38.88775942,34,159,5406
73,ErkPhosByAkt_PI3KDephosByErk_MekPhosByPI3K,14.1595,-38.5917517,35,95,3325
44,MekPhosByAkt_ErkPhosByAkt_MekPhosByPI3K,14.178,-38.50557612,36,97,3492
116,MekPhosByAkt_ErkPhosByAkt_PI3KPhosByMek_RafDephosByAkt,13.2659,-38.35933827,37,27,999
58,PI3KPhosByTGFbR_ErkPhosByAkt_PI3KDephosByErk,14.2306,-38.26117098,38,100,3800
57,MekPhosByAkt_MekDephosByAkt_RafDephosByAkt,14.2487,-38.17727846,39,101,3939
117,MekPhosByAkt_ErkPhosByAkt_MekDephosByAkt_RafDephosByAkt,13.3135,-38.12294442,40,29,1160
136,PI3KPhosByTGFbR_ErkPhosByAkt_PI3KPhosByMek_RafDephosByAkt,13.3781,-37.80347251,41,31,1271
11,MekPhosByAkt_PI3KDephosByErk,15.3091,-37.7730164,42,167,7014
78,ErkPhosByAkt_MekPhosByPI3K_MekDephosByAkt,14.3523,-37.69913924,43,107,4601
107,MekPhosByAkt_PI3KPhosByTGFbR_MekDephosByAkt_RafDephosByAkt,13.4142,-37.62561533,44,32,1408
41,MekPhosByAkt_PI3KPhosByTGFbR_MekDephosByAkt,14.384,-37.55352544,45,114,5130
156,ErkPhosByAkt_MekPhosByPI3K_MekDephosByAkt_RafDephosByAkt,13.43,-37.54792256,46,34,1564
151,ErkPhosByAkt_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,13.4313,-37.54153418,47,35,1645
54,MekPhosByAkt_MekPhosByPI3K_RafDephosByAkt,14.3914,-37.51957978,48,115,5520
112,MekPhosByAkt_ErkPhosByAkt_MekPhosByPI3K_PI3KPhosByMek,13.4485,-37.45706926,49,37,1813
148,ErkPhosByAkt_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,13.4495,-37.45216183,50,39,1950
132,PI3KPhosByTGFbR_ErkPhosByAkt_MekPhosByPI3K_PI3KPhosByMek,13.4495,-37.45216183,51,38,1938
96,MekPhosByAkt_PI3KPhosByTGFbR_ErkPhosByAkt_MekDephosByAkt,13.4799,-37.30314991,52,40,2080
49,MekPhosByAkt_PI3KDephosByErk_PI3KPhosByMek,14.4567,-37.22078663,53,123,6519
75,ErkPhosByAkt_PI3KDephosByErk_MekDephosByAkt,14.4659,-37.1787987,54,124,6696
105,MekPhosByAkt_PI3KPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,13.6092,-36.67309097,55,49,2695
103,MekPhosByAkt_PI3KPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,13.6153,-36.64351467,56,51,2856
37,MekPhosByAkt_PI3KPhosByTGFbR_ErkPhosByAkt,14.5923,-36.60460948,57,129,7353
74,ErkPhosByAkt_PI3KDephosByErk_PI3KPhosByMek,14.6162,-36.4965998,58,130,7540
